,mack,date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
0,CMX,28/01/2021,11.29,14.20,-1.05 (-6.89 %),"538,500","7,654,000,000",0,0,14.20,14.50,14.20
1,CMX,27/01/2021,12.12,15.25,-0.95 (-5.86 %),"608,800","9,439,000,000",0,0,15.90,16.10,15.10
2,CMX,26/01/2021,12.88,16.20,-0.70 (-4.14 %),"355,600","5,785,000,000",0,0,16.70,16.90,15.85
3,CMX,25/01/2021,13.44,16.90,-0.05 (-0.29 %),"477,000","7,943,000,000",0,0,16.70,16.95,16.40
4,CMX,22/01/2021,13.48,16.95,-0.45 (-2.59 %),"518,900","8,882,000,000",0,0,17.10,17.35,16.90
5,CMX,21/01/2021,13.83,17.40,0.90 (5.45 %),"427,200","7,207,000,000",0,0,17.00,17.50,16.45
6,CMX,20/01/2021,13.12,16.50,-0.75 (-4.35 %),"734,600","12,058,000,000",0,0,16.95,17.15,16.05
7,CMX,19/01/2021,13.71,17.25,-1.25 (-6.76 %),"863,900","15,456,000,000",0,0,18.40,18.70,17.25
8,CMX,18/01/2021,14.71,18.50,-0.40 (-2.12 %),"858,400","15,998,000,000",0,0,18.60,18.90,18.45
9,CMX,15/01/2021,15.03,18.90,-0.30 (-1.56 %),"786,300","14,930,000,000",0,0,19.25,19.30,18.70
10,CMX,14/01/2021,15.26,19.20,0.00 (0.00 %),"560,900","10,767,000,000",0,0,19.30,19.60,19.00
11,CMX,13/01/2021,15.26,19.20,-0.05 (-0.26 %),"1,093,600","21,505,000,000",0,0,19.40,20.00,18.90
12,CMX,12/01/2021,15.30,19.25,0.45 (2.39 %),"822,400","15,613,000,000",0,0,18.80,19.30,18.50
13,CMX,11/01/2021,14.95,18.80,0.10 (0.53 %),"546,900","10,169,000,000",0,0,18.70,19.00,18.35
14,CMX,08/01/2021,14.87,18.70,-0.40 (-2.09 %),"783,200","15,000,000,000",0,0,19.20,19.60,18.40
15,CMX,07/01/2021,15.18,19.10,0.85 (4.66 %),"1,102,200","20,469,000,000",0,0,18.30,19.10,18.10
16,CMX,06/01/2021,14.51,18.25,-0.55 (-2.93 %),"1,008,200","18,649,000,000",0,0,18.80,18.95,18.20
17,CMX,05/01/2021,14.95,18.80,0.65 (3.58 %),"1,077,100","19,823,000,000",0,0,18.30,19.00,17.90
18,CMX,04/01/2021,14.43,18.15,0.25 (1.40 %),"761,800","13,818,000,000",0,0,18.30,18.40,17.90
19,CMX,31/12/2020,14.23,17.90,1.15 (6.87 %),"2,664,790","46,907,000,000",0,0,16.80,17.90,16.80
20,CMX,04/03/2021,12.80,16.10,-0.65 (-3.88 %),"256,200","4,184,000,000",0,0,16.70,16.70,15.85
21,CMX,03/03/2021,13.32,16.75,0.55 (3.40 %),"486,400","8,072,000,000",0,0,16.50,16.75,16.30
22,CMX,02/03/2021,12.88,16.20,0.55 (3.51 %),"551,800","8,864,000,000",0,0,15.85,16.50,15.65
23,CMX,01/03/2021,12.44,15.65,0.55 (3.64 %),"258,100","3,992,000,000",0,0,15.30,15.65,15.20
24,CMX,26/02/2021,12.00,15.10,-0.10 (-0.66 %),"126,700","1,918,000,000",0,0,14.80,15.25,14.80
25,CMX,25/02/2021,12.08,15.20,0.00 (0.00 %),"189,900","2,883,000,000",0,0,15.30,15.35,15.00
26,CMX,24/02/2021,12.08,15.20,-0.40 (-2.56 %),"290,000","4,489,000,000",0,0,15.60,15.70,15.15
27,CMX,23/02/2021,12.40,15.60,0.00 (0.00 %),"241,400","3,750,000,000",0,0,15.60,15.70,15.40
28,CMX,22/02/2021,12.40,15.60,-0.05 (-0.32 %),"185,700","2,912,000,000",0,0,15.65,15.85,15.60
29,CMX,19/02/2021,12.44,15.65,0.25 (1.62 %),"282,500","4,389,000,000",0,0,15.40,15.80,15.10
30,CMX,18/02/2021,12.24,15.40,0.05 (0.33 %),"297,300","4,559,000,000",0,0,15.35,15.50,15.25
31,CMX,17/02/2021,12.20,15.35,0.85 (5.86 %),"198,400","2,976,000,000",0,0,14.85,15.40,14.80
32,CMX,09/02/2021,11.53,14.50,0.50 (3.57 %),"167,000","2,398,000,000",0,0,14.30,14.60,14.10
33,CMX,08/02/2021,11.13,14.00,-1.00 (-6.67 %),"257,200","3,778,000,000",0,0,15.00,15.10,14.00
34,CMX,05/02/2021,11.93,15.00,0.05 (0.33 %),"182,200","2,717,000,000",0,0,14.95,15.05,14.80
35,CMX,04/02/2021,11.89,14.95,-0.10 (-0.66 %),"370,200","5,498,000,000",0,0,15.10,15.10,14.70
36,CMX,03/02/2021,11.96,15.05,0.75 (5.24 %),"233,200","3,419,000,000",0,0,14.35,15.05,14.35
37,CMX,02/02/2021,11.37,14.30,0.15 (1.06 %),"205,900","2,907,000,000",0,0,14.05,14.30,13.90
38,CMX,01/02/2021,11.25,14.15,-0.65 (-4.39 %),"275,900","3,957,000,000",0,0,14.80,14.80,14.10
39,CMX,29/01/2021,11.77,14.80,0.60 (4.23 %),"366,700","5,150,000,000",0,0,13.25,14.90,13.25
40,CMX,01/04/2021,12.48,15.70,0.25 (1.62 %),"339,800","5,278,000,000",0,0,15.50,15.70,15.40
41,CMX,31/03/2021,12.28,15.45,-0.10 (-0.64 %),"178,500","2,751,000,000",0,0,15.55,15.55,15.35
42,CMX,30/03/2021,12.36,15.55,0.05 (0.32 %),"155,400","2,402,000,000",0,0,15.60,15.70,15.35
43,CMX,29/03/2021,12.32,15.50,0.35 (2.31 %),"140,100","2,149,000,000",0,0,15.20,15.50,15.20
44,CMX,26/03/2021,12.04,15.15,-0.25 (-1.62 %),"253,600","3,839,000,000",0,0,15.10,15.40,14.80
45,CMX,25/03/2021,12.24,15.40,-0.15 (-0.96 %),"313,600","4,795,000,000",0,0,15.55,15.55,15.00
46,CMX,24/03/2021,12.36,15.55,-0.45 (-2.81 %),"250,900","3,924,000,000",0,0,15.70,15.95,15.50
