,Mã chứng khoán,Quý,Doanh thu bán hàng và CCDV,Tổng lợi nhuận trước thuế,Nợ ngắn hạn,Tổng tài sản,Lợi nhuận sau thuế,Lợi nhuận gộp về BH và CCDV,Lợi nhuận khác,Lợi nhuận sau thuế của công ty mẹ,Tổng nợ,Vốn chủ sở hữu,Lợi nhuận tài chính,Tổng tài sản lưu động ngắn hạn,Giá vốn hàng bán,Tiền cho vay,Tổng chi phí,Tiền gửi,Góp vốn và đầu tư dài hạn,Tổng doanh thu(*),Lợi nhuận ròng(**)(**),Đầu tư chứng khoán
0,CMX,Quý 1-2010,"262,023,105","4,374,884","625,911,427","810,803,289","3,937,396","19,352,238","142,871","3,937,396","639,084,487","171,718,802","768,595","682,531,876","242,328,761",,,,,,,
1,CMX,Quý 2-2010,"367,778,383","33,387,181","865,997,491","1,088,339,586","29,888,332","56,380,415","-260,155","29,888,332","922,207,926","166,131,660","1,479,544","954,401,079","309,328,993",,,,,,,
2,CMX,Quý 3-2010,"451,273,401","4,724,150","847,087,645","1,048,342,960","4,251,735","34,853,387","-13,338","4,251,735","878,640,313","169,702,647","-4,270,015","900,077,837","413,193,904",,,,,,,
3,CMX,Quý 4-2010,"382,906,864","-5,966,329",,,"-5,369,696","24,631,851","300,870","-5,369,696",,,"-2,127",,"353,508,056",,,,,,,
4,CMX,Quý 1-2013,"94,187,490","700,125","517,870,294","699,708,439","560,100","18,272,102","204,450","560,100","537,574,807","162,133,632","-8,761,698","495,905,552","75,629,666",,,,,,,
5,CMX,Quý 2-2013(Đã soát xét),"147,446,969","1,714,070","552,732,184","735,334,654","1,133,547","-104,861,526","129,497,193","1,133,547","572,490,044","162,844,610","-10,729,963","376,452,110","252,001,813",,,,,,,
6,CMX,Quý 3-2013,"191,033,244","734,492","544,553,393","727,743,456","587,593","16,398,462","-7,339","587,593","564,311,253","163,432,204","-3,743,167","368,295,359","171,938,687",,,,,,,
7,CMX,Quý 4-2013,"174,093,739","2,136,988","573,529,433","626,632,618","1,709,591","24,120,682","430,431","1,709,591","593,287,293","33,345,325","-9,024,147","427,809,837","149,621,997",,,,,,,
8,CMX,Quý 1-2012,"232,465,139","3,486,977","689,178,819","882,989,357","3,138,279","32,513,213","369,867","3,138,279","720,635,878","162,353,479","-16,916,310","687,681,706","189,409,774",,,,,,,
9,CMX,Quý 2-2012(Đã soát xét),"330,356,785","2,179,994","639,306,237","834,514,928","1,838,083","37,735,532","-1,068,908","1,838,083","670,782,160","163,732,769","-16,971,248","638,742,213","291,705,597",,,,,,,
10,CMX,Quý 3-2012,"262,143,758","1,598,168","595,254,243","791,978,086","1,438,351","25,881,412","-20,880","1,438,351","626,806,967","165,171,120","-10,049,054","596,321,875","230,283,202",,,,,,,
11,CMX,Quý 4-2012,"210,941,381","340,650","518,536,540","715,699,361","306,585","24,815,536","117,023","306,585","550,221,656","165,477,705","-9,881,882","516,786,964","182,299,785",,,,,,,
