date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,11.2,11.2,-0.3,1680.0,19000000.0,0.0,0.0,11.5,11.5,11.1
2021-01-04,11.8,11.8,0.6,1500.0,17000000.0,0.0,0.0,11.2,11.8,11.2
2021-01-05,11.7,11.7,-0.1,5000.0,57000000.0,0.0,0.0,11.3,11.7,11.3
2021-01-06,11.5,11.5,-0.2,3000.0,35000000.0,0.0,0.0,11.6,11.6,11.5
2021-01-07,11.8,11.8,0.3,9000.0,103000000.0,0.0,0.0,11.5,11.8,11.3
2021-01-08,11.5,11.5,-0.3,1500.0,17000000.0,0.0,0.0,11.8,11.8,11.5
2021-01-11,11.85,11.85,0.35,5200.0,62000000.0,0.0,0.0,12.3,12.3,11.85
2021-01-12,11.5,11.5,-0.35,3000.0,35000000.0,0.0,0.0,11.8,11.8,11.5
2021-01-13,11.6,11.6,0.1,800.0,9000000.0,0.0,0.0,11.3,11.6,11.3
2021-01-14,11.7,11.7,0.1,5000.0,57000000.0,0.0,0.0,11.0,11.7,11.0
2021-01-15,11.75,11.75,0.05,6500.0,76000000.0,0.0,0.0,11.7,11.75,11.7
2021-01-18,11.6,11.6,-0.15,700.0,8000000.0,0.0,0.0,11.75,11.75,11.6
2021-01-19,11.5,11.5,-0.1,2300.0,27000000.0,0.0,0.0,11.6,11.7,11.5
2021-01-20,11.5,11.5,0.0,2000.0,23000000.0,0.0,0.0,11.5,11.5,11.0
2021-01-21,11.5,11.5,0.0,1300.0,15000000.0,0.0,0.0,11.7,11.7,10.7
2021-01-22,11.5,11.5,0.0,0.0,0.0,0.0,0.0,11.5,11.5,11.5
2021-01-25,11.5,11.5,0.0,1100.0,13000000.0,0.0,0.0,11.5,11.5,11.05
2021-01-26,11.0,11.0,-0.5,600.0,7000000.0,0.0,0.0,11.0,11.0,11.0
2021-01-27,11.65,11.65,0.65,600.0,7000000.0,0.0,0.0,11.3,11.65,11.3
2021-01-28,10.85,10.85,-0.8,4500.0,49000000.0,0.0,0.0,10.9,11.6,10.85
2021-01-29,10.85,10.85,0.0,2200.0,25000000.0,0.0,0.0,11.5,11.5,10.85
2021-02-01,10.95,10.95,0.1,900.0,10000000.0,0.0,0.0,10.9,10.95,10.9
2021-02-02,10.45,10.45,-0.5,1000.0,11000000.0,0.0,0.0,10.95,10.95,10.45
2021-02-03,10.95,10.95,0.5,800.0,9000000.0,0.0,0.0,10.8,10.95,10.8
2021-02-04,11.4,11.4,0.45,1800.0,19000000.0,0.0,0.0,10.6,11.4,10.45
2021-02-05,11.35,11.35,-0.05,500.0,6000000.0,0.0,0.0,11.4,11.4,11.35
2021-02-08,11.35,11.35,0.0,0.0,0.0,0.0,0.0,11.35,11.35,11.35
2021-02-09,11.1,11.1,-0.25,2600.0,29000000.0,0.0,0.0,11.0,11.1,11.0
2021-02-17,11.2,11.2,0.1,1200.0,13000000.0,0.0,0.0,11.1,11.2,11.1
2021-02-18,10.7,10.7,-0.5,300.0,3000000.0,0.0,0.0,10.7,10.7,10.7
2021-02-19,11.1,11.1,0.4,10000.0,111000000.0,0.0,0.0,11.3,11.3,11.1
2021-02-22,11.2,11.2,0.1,5700.0,64000000.0,0.0,0.0,11.2,11.3,11.2
