date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2021-01-21,29.38,32.0,0.0,1100.0,35000000.0,0.0,0.0,32.0,32.0,32.0
2021-01-22,30.7,32.4,0.4,100.0,3000000.0,0.0,0.0,32.4,32.4,32.4
2021-01-25,30.32,32.0,-0.4,500.0,16000000.0,0.0,0.0,32.4,32.4,32.0
2021-01-26,30.32,32.0,0.0,200.0,6000000.0,0.0,0.0,32.0,32.0,32.0
2021-01-27,30.32,32.0,0.0,1600.0,51000000.0,0.0,0.0,31.0,32.0,31.0
2021-01-28,29.38,31.0,-1.0,1800.0,56000000.0,0.0,0.0,31.0,31.0,30.0
2021-01-29,30.7,32.4,1.4,100.0,3000000.0,0.0,0.0,32.4,32.4,32.4
2021-02-01,30.7,32.4,0.0,0.0,0.0,0.0,0.0,32.4,32.4,32.4
2021-02-02,28.9,30.5,-1.9,100.0,3000000.0,0.0,0.0,30.5,30.5,30.5
2021-02-03,28.9,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5
2021-02-04,28.9,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5
2021-02-05,28.9,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5
2021-02-08,28.9,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5
2021-02-09,28.9,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.5,30.5
2021-02-17,28.9,30.5,0.0,300.0,9000000.0,0.0,0.0,30.5,30.5,30.5
2021-02-18,30.8,32.5,2.0,400.0,13000000.0,0.0,0.0,32.5,32.5,32.5
2021-02-19,29.0,30.6,-1.9,1000.0,31000000.0,0.0,0.0,30.6,30.6,30.6
2021-02-22,29.0,30.6,0.0,100.0,3000000.0,0.0,0.0,30.6,30.6,30.6
2021-02-23,29.0,30.6,0.0,0.0,0.0,0.0,0.0,30.6,30.6,30.6
2021-02-24,29.0,30.6,0.0,0.0,0.0,0.0,0.0,30.6,30.6,30.6
2021-02-25,29.0,30.6,0.0,0.0,0.0,0.0,0.0,30.6,30.6,30.6
2021-02-26,29.0,30.6,0.0,0.0,0.0,0.0,0.0,30.6,30.6,30.6
2021-03-01,30.32,32.0,1.4,2400.0,76000000.0,0.0,0.0,29.65,32.0,29.65
2021-03-02,30.32,32.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0
2021-03-03,30.13,31.8,-0.2,200.0,6000000.0,0.0,0.0,30.7,31.8,30.7
2021-03-04,29.85,31.5,-0.3,200.0,6000000.0,0.0,0.0,31.5,31.5,31.5
2021-03-05,29.85,31.5,0.0,0.0,0.0,0.0,0.0,31.5,31.5,31.5
2021-03-08,29.85,31.5,0.0,200.0,6000000.0,0.0,0.0,31.5,31.5,31.5
2021-03-09,30.37,32.05,0.55,900.0,29000000.0,0.0,0.0,30.0,32.05,30.0
2021-03-10,29.38,31.0,-1.05,5000.0,155000000.0,0.0,0.0,31.0,31.0,31.0
2021-03-11,30.51,32.2,1.2,1700.0,55000000.0,0.0,0.0,31.1,32.2,31.1
2021-03-12,30.51,32.2,0.0,200.0,6000000.0,0.0,0.0,32.2,32.2,32.2
