date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,17.98,28.1,0.3,6774680.0,190241000000.0,0.0,0.0,27.9,28.3,27.85
2021-01-04,18.34,28.65,0.55,10776300.0,308837000000.0,0.0,0.0,28.55,28.85,28.5
2021-01-05,18.78,29.35,0.7,18693900.0,544055000000.0,150000.0,4090000000.0,28.6,29.6,28.3
2021-01-06,19.14,29.9,0.55,15883900.0,474885000000.0,0.0,0.0,29.7,30.6,29.3
2021-01-07,19.14,29.9,0.0,11636100.0,347102000000.0,0.0,0.0,29.9,30.0,29.6
2021-01-08,19.33,30.2,0.3,15519300.0,467789000000.0,85000.0,2541500000.0,29.95,30.4,29.8
2021-01-11,19.42,30.35,0.15,9821800.0,299405000000.0,0.0,0.0,30.5,30.9,30.15
2021-01-12,19.26,30.1,-0.25,9277600.0,278980000000.0,42000.0,1186500000.0,30.25,30.3,29.95
2021-01-13,19.1,29.85,-0.25,9915300.0,298476000000.0,85000.0,2541500000.0,30.3,30.35,29.7
2021-01-14,19.1,29.85,0.0,8491200.0,251521000000.0,30000.0,895500000.0,29.9,29.9,29.2
2021-01-15,19.36,30.25,0.4,8184100.0,247201000000.0,0.0,0.0,30.0,30.4,29.95
2021-01-18,19.17,29.95,-0.3,8419100.0,254632000000.0,0.0,0.0,30.35,30.5,29.9
2021-01-19,17.86,27.9,-2.05,13077400.0,372993000000.0,0.0,0.0,29.8,29.9,27.9
2021-01-20,18.11,28.3,0.4,12323000.0,337432000000.0,0.0,0.0,28.0,28.3,26.3
2021-01-21,18.53,28.95,0.65,6535000.0,187464000000.0,80000.0,2420000000.0,28.8,29.1,28.35
2021-01-22,18.34,28.65,-0.3,5438100.0,156699000000.0,0.0,0.0,28.9,29.1,28.5
2021-01-25,17.98,28.1,-0.55,7683600.0,217133000000.0,0.0,0.0,28.3,28.5,28.05
2021-01-26,17.79,27.8,-0.3,8096200.0,226784000000.0,80000.0,2092000000.0,28.05,28.65,27.5
2021-01-27,17.6,27.5,-0.3,6387700.0,177674000000.0,0.0,0.0,27.8,28.35,27.2
2021-01-28,16.38,25.6,-1.9,15154800.0,394649000000.0,4084409.0,118903624600.0,26.0,26.7,25.6
2021-01-29,17.15,26.8,1.2,7621200.0,197435000000.0,0.0,0.0,24.5,26.9,24.5
2021-02-01,17.06,26.65,-0.15,7528200.0,202084000000.0,0.0,0.0,26.8,27.4,26.3
2021-02-02,17.5,27.35,0.7,6544600.0,176046000000.0,100000.0,2850000000.0,26.65,27.4,26.35
