date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,14.2,14.65,0.95,764360.0,11077000000.0,0.0,0.0,13.7,14.65,13.7
2021-01-04,14.49,14.95,0.3,199400.0,3008000000.0,0.0,0.0,15.6,15.6,14.9
2021-01-05,14.63,15.1,0.15,252600.0,3802000000.0,0.0,0.0,14.9,15.4,14.5
2021-01-06,14.54,15.0,-0.1,455900.0,6816000000.0,0.0,0.0,15.0,15.3,14.65
2021-01-07,14.73,15.2,0.2,302300.0,4574000000.0,0.0,0.0,15.0,15.4,14.6
2021-01-08,14.63,15.1,-0.1,201800.0,3058000000.0,0.0,0.0,15.3,15.35,14.9
2021-01-11,14.83,15.3,0.2,276900.0,4174000000.0,0.0,0.0,15.2,15.3,14.95
2021-01-12,15.22,15.7,0.4,247100.0,3863000000.0,0.0,0.0,16.0,16.0,15.4
2021-01-13,14.63,15.1,-0.6,179900.0,2784000000.0,0.0,0.0,15.7,15.8,15.1
2021-01-14,14.73,15.2,0.1,251000.0,3787000000.0,0.0,0.0,15.0,15.2,15.0
2021-01-15,14.54,15.0,-0.2,214900.0,3235000000.0,0.0,0.0,15.3,15.45,14.95
2021-01-18,14.63,15.1,0.1,139500.0,2095000000.0,0.0,0.0,15.0,15.2,14.8
2021-01-19,13.76,14.2,-0.9,166800.0,2444000000.0,0.0,0.0,15.1,15.25,14.05
2021-01-20,13.52,13.95,-0.25,189200.0,2582000000.0,0.0,0.0,14.0,14.15,13.3
2021-01-21,13.38,13.8,-0.15,71400.0,1005000000.0,0.0,0.0,14.0,14.4,13.8
2021-01-22,13.57,14.0,0.2,136400.0,1919000000.0,0.0,0.0,13.8,14.4,13.8
2021-01-25,13.57,14.0,0.0,80100.0,1126000000.0,0.0,0.0,14.3,14.3,14.0
2021-01-26,13.18,13.6,-0.4,105700.0,1448000000.0,0.0,0.0,14.0,14.0,13.5
2021-01-27,12.36,12.75,-0.85,149500.0,1970000000.0,0.0,0.0,13.35,13.45,12.7
2021-01-28,11.53,11.9,-0.85,127300.0,1520000000.0,0.0,0.0,11.9,12.5,11.9
2021-01-29,11.82,12.2,0.3,62000.0,730000000.0,259950.0,2885445000.0,11.15,12.2,11.15
2021-02-01,11.24,11.6,-0.6,44500.0,535000000.0,0.0,0.0,11.7,12.5,11.6
2021-02-02,11.63,12.0,0.4,60700.0,696000000.0,352050.0,3802140000.0,11.6,12.0,11.3
2021-02-03,11.92,12.3,0.3,66500.0,797000000.0,0.0,0.0,11.5,12.4,11.5
2021-02-04,11.97,12.35,0.05,41600.0,515000000.0,285000.0,3263250000.0,12.35,12.6,12.3
2021-02-05,12.02,12.4,0.05,43100.0,533000000.0,0.0,0.0,12.45,12.45,12.3
2021-02-08,11.44,11.8,-0.6,50900.0,607000000.0,0.0,0.0,12.4,12.4,11.75
2021-02-09,11.87,12.25,0.45,33000.0,401000000.0,0.0,0.0,11.85,12.25,11.85
2021-02-17,11.97,12.35,0.1,35100.0,432000000.0,0.0,0.0,12.25,12.45,11.9
2021-02-18,12.79,13.2,0.85,149900.0,1899000000.0,305000.0,3507500000.0,12.5,13.2,12.3
2021-02-19,13.47,13.9,0.7,181800.0,2534000000.0,0.0,0.0,13.4,14.1,13.4
2021-02-22,13.47,13.9,0.0,118500.0,1692000000.0,0.0,0.0,14.8,14.8,13.85
2021-02-23,13.33,13.75,-0.15,109300.0,1487000000.0,0.0,0.0,13.7,13.8,13.2
2021-02-24,12.89,13.3,-0.45,83400.0,1118000000.0,0.0,0.0,13.75,13.8,13.1
2021-02-25,13.33,13.75,0.45,102200.0,1360000000.0,37756.0,468174400.0,13.3,13.8,13.1
2021-02-26,13.33,13.75,0.0,37500.0,513000000.0,0.0,0.0,13.75,13.75,13.6
2021-03-01,13.28,13.7,-0.05,49600.0,679000000.0,0.0,0.0,13.7,13.8,13.6
2021-03-02,13.18,13.6,-0.1,46100.0,628000000.0,130000.0,1657500000.0,13.7,13.7,13.55
2021-03-03,13.81,14.25,0.65,96400.0,1350000000.0,0.0,0.0,13.6,14.4,13.6
2021-03-04,13.76,14.2,-0.05,132700.0,1955000000.0,0.0,0.0,15.0,15.0,14.2
2021-03-05,13.67,14.1,-0.1,31800.0,445000000.0,0.0,0.0,13.65,14.15,13.65
2021-03-08,13.57,14.0,-0.1,47700.0,667000000.0,0.0,0.0,14.15,14.15,13.8
2021-03-09,13.52,13.95,-0.05,58500.0,809000000.0,0.0,0.0,14.0,14.0,13.75
2021-03-10,13.57,14.0,0.05,48900.0,680000000.0,0.0,0.0,14.0,14.0,13.85
2021-03-11,13.38,13.8,-0.2,45800.0,636000000.0,0.0,0.0,14.1,14.1,13.8
