date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,37.91,47.9,-0.15,1342380.0,63666000000.0,0.0,0.0,47.25,47.9,47.0
2021-01-04,38.19,48.25,0.35,1993800.0,95967000000.0,0.0,0.0,47.75,48.45,47.75
2021-01-05,37.91,47.9,-0.35,2155700.0,103148000000.0,0.0,0.0,47.9,48.1,47.65
2021-01-06,38.62,48.8,0.9,3674500.0,180044000000.0,0.0,0.0,48.3,50.6,47.55
2021-01-07,38.7,48.9,0.1,1678500.0,82253000000.0,103000.0,5026400000.0,48.8,49.9,48.5
2021-01-08,38.38,48.5,-0.4,2034900.0,99377000000.0,0.0,0.0,49.3,49.3,48.2
2021-01-11,38.19,48.25,-0.25,2758800.0,132930000000.0,0.0,0.0,48.5,48.6,47.9
2021-01-12,38.58,48.75,0.5,2189300.0,105587000000.0,0.0,0.0,48.25,49.0,47.9
2021-01-13,38.34,48.45,-0.3,1650200.0,80436000000.0,0.0,0.0,48.8,49.2,48.4
2021-01-14,38.66,48.85,0.4,1904800.0,92460000000.0,0.0,0.0,48.5,49.0,48.0
2021-01-15,38.66,48.85,0.0,2404700.0,118331000000.0,0.0,0.0,49.3,49.5,48.85
2021-01-18,38.5,48.65,-0.2,1685100.0,82287000000.0,0.0,0.0,48.9,49.0,48.6
2021-01-19,35.81,45.25,-3.4,2701100.0,125947000000.0,1107800.0,53894470000.0,48.6,48.6,45.25
2021-01-20,36.01,45.5,0.25,2306500.0,102415000000.0,0.0,0.0,45.25,46.5,42.5
2021-01-21,36.8,46.5,1.0,1347000.0,61694000000.0,43700.0,2002334000.0,45.6,46.5,45.2
2021-01-22,35.81,45.25,-1.25,2211800.0,101081000000.0,0.0,0.0,46.5,46.55,45.1
2021-01-25,35.3,44.6,-0.65,1371900.0,61306000000.0,0.0,0.0,45.0,45.2,44.4
2021-01-26,33.67,42.55,-2.05,1836800.0,79207000000.0,0.0,0.0,44.35,44.35,41.8
2021-01-27,32.68,41.3,-1.25,2102100.0,88667000000.0,0.0,0.0,42.55,43.4,40.6
2021-01-28,30.43,38.45,-2.85,2692000.0,104280000000.0,0.0,0.0,39.0,40.0,38.45
2021-01-29,31.58,39.9,1.45,2008200.0,78280000000.0,0.0,0.0,36.5,40.85,36.5
2021-02-01,30.94,39.1,-0.8,1545000.0,61610000000.0,0.0,0.0,39.9,41.0,38.65
2021-02-02,31.14,39.35,0.25,2497300.0,98130000000.0,33700.0,1341260000.0,38.9,39.95,38.55
2021-02-03,32.72,41.35,2.0,1851900.0,75132000000.0,0.0,0.0,40.1,41.5,39.7
2021-02-04,32.84,41.5,0.15,1378500.0,56967000000.0,90000.0,3465000000.0,41.4,41.6,40.9
2021-02-05,33.08,41.8,0.3,1279600.0,53323000000.0,33700.0,1398550000.0,41.5,42.1,41.3
2021-02-08,31.74,40.1,-1.7,1874900.0,76101000000.0,40000.0,1556000000.0,40.1,42.0,39.05
2021-02-09,32.29,40.8,0.7,1448500.0,58787000000.0,0.0,0.0,40.5,41.2,39.7
2021-02-17,33.32,42.1,1.3,1439000.0,60078000000.0,0.0,0.0,40.85,42.1,40.85
2021-02-18,34.35,43.4,1.3,2339700.0,99936000000.0,0.0,0.0,42.2,43.5,41.7
2021-02-19,34.9,44.1,0.7,2027200.0,89050000000.0,0.0,0.0,43.0,44.5,42.85
2021-02-22,34.62,43.75,-0.35,1523800.0,67211000000.0,50000.0,2052500000.0,44.1,44.5,43.7
2021-02-23,34.82,44.0,0.25,1533100.0,66986000000.0,25000.0,1100000000.0,43.75,44.1,43.2
2021-02-24,34.07,43.05,-0.95,1640000.0,71274000000.0,0.0,0.0,43.9,44.2,42.6
2021-02-25,33.99,42.95,-0.1,1733200.0,74223000000.0,0.0,0.0,43.15,43.8,42.2
2021-02-26,34.51,43.6,0.65,1379500.0,59001000000.0,25000.0,1095000000.0,42.8,43.7,42.3
2021-03-01,34.9,44.1,0.5,2251400.0,99267000000.0,0.0,0.0,43.6,44.4,43.6
2021-03-02,34.86,44.05,-0.05,2124000.0,94071000000.0,0.0,0.0,44.5,44.6,43.85
2021-03-03,34.66,43.8,-0.25,1583800.0,69606000000.0,0.0,0.0,44.05,44.2,43.7
2021-03-04,33.83,42.75,-1.05,2089500.0,91233000000.0,0.0,0.0,44.0,44.25,42.3
2021-03-05,33.56,42.4,-0.35,1857200.0,79126000000.0,0.0,0.0,42.75,43.3,42.0
2021-03-08,33.59,42.45,0.05,1595300.0,67998000000.0,0.0,0.0,43.4,43.4,42.3
2021-03-09,33.12,41.85,-0.6,2430700.0,101878000000.0,0.0,0.0,42.4,42.4,41.5
2021-03-10,33.24,42.0,0.15,2056500.0,85804000000.0,28500.0,1275375000.0,42.0,42.2,41.4
2021-03-11,34.27,43.3,1.3,1672400.0,71831000000.0,0.0,0.0,42.7,43.6,42.55
2021-03-12,34.31,43.35,0.05,2536400.0,110155000000.0,0.0,0.0,43.5,43.7,43.1
2021-03-15,34.03,43.0,-0.35,2779700.0,120500000000.0,0.0,0.0,43.5,43.6,42.8
2021-03-16,33.56,42.4,-0.6,2223700.0,94797000000.0,0.0,0.0,43.0,43.2,42.3
2021-03-17,34.27,43.3,0.8,4346500.0,184307000000.0,0.0,0.0,42.5,43.4,41.95
2021-03-18,35.61,45.0,1.7,5666500.0,252307000000.0,0.0,0.0,44.0,45.3,43.55
2021-03-19,35.61,45.0,0.0,2885400.0,130006000000.0,0.0,0.0,45.0,45.4,44.7
2021-03-22,35.34,44.65,-0.35,2562800.0,114710000000.0,0.0,0.0,45.0,45.0,44.5
2021-03-23,34.58,43.7,-0.95,4549300.0,199215000000.0,0.0,0.0,44.5,44.55,43.1
2021-03-24,33.36,42.15,-1.55,3341900.0,142838000000.0,180000.0,7380000000.0,43.0,43.3,41.9
2021-03-25,33.44,42.25,0.1,2369000.0,100206000000.0,0.0,0.0,42.5,42.95,41.95
2021-03-26,33.32,42.1,-0.15,2445100.0,101855000000.0,0.0,0.0,41.95,42.4,40.5
2021-03-29,33.67,42.55,0.45,1347900.0,57050000000.0,0.0,0.0,42.5,42.65,42.15
