date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2021-03-05,28.74,38.0,-0.3,10156400.0,384715000000.0,0.0,0.0,38.1,38.45,37.5
2021-03-08,28.66,37.9,-0.1,7574900.0,288927000000.0,30000.0,1095000000.0,38.4,38.6,37.55
2021-03-09,28.13,37.2,-0.7,10113900.0,378933000000.0,83000.0,3237000000.0,37.9,37.9,37.1
2021-03-10,28.4,37.55,0.35,7468500.0,279512000000.0,20000.0,740000000.0,37.25,37.8,37.05
2021-03-11,28.89,38.2,0.65,7639300.0,292203000000.0,30000.0,1095000000.0,37.95,38.45,37.8
2021-03-12,28.7,37.95,-0.25,6997500.0,267785000000.0,193000.0,7419400000.0,38.35,38.5,37.95
2021-03-15,28.74,38.0,0.05,6762100.0,256965000000.0,80000.0,3038000000.0,38.0,38.2,37.75
2021-03-16,28.51,37.7,-0.3,7061600.0,267712000000.0,150000.0,5667000000.0,38.15,38.2,37.65
2021-03-17,29.91,39.55,1.8,23685900.0,917784000000.0,163000.0,6253500000.0,37.75,39.6,37.6
2021-03-18,30.63,40.5,0.95,16047000.0,655035000000.0,90000.0,3394000000.0,41.2,41.45,40.2
2021-03-19,30.59,40.45,-0.05,8287200.0,335902000000.0,300000.0,12135000000.0,40.35,40.9,40.3
2021-03-22,31.08,41.1,0.65,20682100.0,851384000000.0,40000.0,1624000000.0,40.95,41.75,40.5
2021-03-23,30.63,40.5,-0.6,14649900.0,597198000000.0,0.0,0.0,41.2,41.25,40.2
2021-03-24,29.5,39.0,-1.5,18260600.0,726234000000.0,462700.0,17780579000.0,40.0,40.45,38.9
2021-03-25,29.8,39.4,0.4,14674100.0,580477000000.0,0.0,0.0,39.5,40.15,38.9
2021-03-26,29.53,39.05,-0.35,16252400.0,629776000000.0,40000.0,1584000000.0,39.3,39.8,37.8
2021-03-29,30.25,40.0,0.95,11589800.0,460365000000.0,300000.0,12525000000.0,39.6,40.05,39.3
2021-03-30,30.55,40.4,0.4,11152600.0,450438000000.0,362000.0,14527800000.0,40.3,40.8,39.85
2021-03-31,30.36,40.15,-0.25,11841600.0,478746000000.0,500000.0,20210000000.0,40.4,40.85,40.0
2021-04-01,31.05,41.05,0.9,18695800.0,762491000000.0,57000.0,2448150000.0,40.3,41.35,40.3
2021-04-02,31.23,41.3,0.25,12198800.0,504028000000.0,106000.0,4429000000.0,41.5,41.55,41.0
2021-04-05,31.76,42.0,0.7,16216000.0,680904000000.0,0.0,0.0,42.0,42.3,41.5
2021-04-06,32.52,43.0,1.0,22526100.0,963352000000.0,57000.0,2228700000.0,41.95,43.55,41.6
2021-04-07,32.52,43.0,0.0,12150700.0,525772000000.0,236000.0,9930300000.0,43.0,43.8,42.8
2021-04-08,32.22,42.6,-0.4,11652100.0,500011000000.0,0.0,0.0,43.0,43.3,42.6
2021-04-09,32.14,42.5,-0.1,14650600.0,622171000000.0,300000.0,12845000000.0,42.5,42.7,42.3
2021-04-12,32.67,43.2,0.7,13503200.0,578513000000.0,66000.0,2996400000.0,42.6,43.3,42.45
2021-04-13,31.8,42.05,-1.15,15121500.0,645126000000.0,2630000.0,115325000000.0,43.5,43.5,42.0
2021-04-14,32.33,42.75,0.7,14310200.0,605852000000.0,43600.0,1866080000.0,41.9,43.0,41.5
2021-04-15,31.92,42.2,-0.55,13938300.0,592355000000.0,86000.0,3496000000.0,42.9,43.0,42.0
2021-04-16,31.76,42.0,-0.2,21441800.0,909706000000.0,45000.0,1932750000.0,42.4,43.2,40.8
2021-04-19,32.14,42.5,0.5,16032000.0,672667000000.0,1100000.0,46200000000.0,42.2,42.5,41.3
2021-04-20,31.76,42.0,-0.5,23241600.0,986246000000.0,786000.0,33786150000.0,42.65,43.15,41.5
2021-04-22,29.61,39.15,-2.85,21428500.0,873346000000.0,0.0,0.0,41.75,41.95,39.15
2021-04-23,31.23,41.3,2.15,17558700.0,698968000000.0,200000.0,7978000000.0,39.45,41.4,39.0
2021-04-26,30.02,39.7,-1.6,12681700.0,512565000000.0,557900.0,22091255000.0,41.3,41.3,39.65
2021-04-27,29.99,39.65,-0.05,7161800.0,284167000000.0,0.0,0.0,39.55,40.1,39.3
2021-04-28,30.06,39.75,0.1,7986500.0,318919000000.0,0.0,0.0,39.6,40.45,39.55
