date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,22.44,30.7,-0.2,4450.0,134000000.0,0.0,0.0,30.9,30.9,29.75
2021-01-04,22.66,31.0,0.3,2700.0,82000000.0,0.0,0.0,30.7,31.0,29.65
2021-01-05,22.66,31.0,0.0,200.0,6000000.0,0.0,0.0,30.95,31.0,30.95
2021-01-06,22.51,30.8,-0.2,1100.0,34000000.0,0.0,0.0,31.0,31.0,30.4
2021-01-07,21.49,29.4,-1.4,800.0,24000000.0,0.0,0.0,30.5,30.5,29.2
2021-01-08,21.93,30.0,0.6,5100.0,150000000.0,0.0,0.0,29.55,30.0,29.2
2021-01-11,21.93,30.0,0.0,5500.0,167000000.0,0.0,0.0,29.45,32.0,29.45
2021-01-12,21.93,30.0,0.0,600.0,18000000.0,0.0,0.0,30.0,31.0,29.5
2021-01-13,21.93,30.0,0.0,1200.0,36000000.0,0.0,0.0,30.0,30.7,30.0
2021-01-14,21.93,30.0,0.0,3400.0,102000000.0,0.0,0.0,30.0,30.1,30.0
2021-01-15,22.4,30.65,0.65,2000.0,60000000.0,0.0,0.0,30.0,30.65,30.0
2021-01-18,22.08,30.2,-0.45,1300.0,39000000.0,0.0,0.0,30.0,30.3,30.0
2021-01-19,21.93,30.0,-0.2,500.0,15000000.0,0.0,0.0,30.0,30.0,30.0
2021-01-20,21.89,29.95,-0.05,400.0,11000000.0,0.0,0.0,28.1,29.95,28.1
2021-01-21,21.89,29.95,0.0,500.0,15000000.0,0.0,0.0,30.0,30.0,29.9
2021-01-22,21.86,29.9,-0.05,1400.0,42000000.0,0.0,0.0,30.0,30.2,29.9
2021-01-25,20.94,28.65,-1.25,100.0,3000000.0,0.0,0.0,28.65,28.65,28.65
2021-01-26,22.15,30.3,1.65,6400.0,182000000.0,0.0,0.0,28.55,30.3,28.0
2021-01-27,21.56,29.5,-0.8,500.0,15000000.0,0.0,0.0,29.0,29.5,29.0
2021-01-28,20.07,27.45,-2.05,1000.0,28000000.0,0.0,0.0,28.0,28.0,27.45
2021-01-29,19.74,27.0,-0.45,500.0,13000000.0,0.0,0.0,27.0,27.0,26.5
2021-02-01,20.58,28.15,1.15,3300.0,93000000.0,0.0,0.0,28.75,28.75,27.15
