date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,8.2,10.65,0.67,2349560.0,24030000000.0,0.0,0.0,9.88,10.65,9.69
2021-01-04,8.47,11.0,0.35,2531100.0,28299000000.0,190428.0,1887141480.0,11.2,11.35,10.8
2021-01-05,9.01,11.7,0.7,2648800.0,29554000000.0,0.0,0.0,10.75,11.75,10.7
2021-01-06,9.32,12.1,0.4,2362500.0,28285000000.0,0.0,0.0,11.7,12.3,11.7
2021-01-07,9.17,11.9,-0.2,2445100.0,29177000000.0,0.0,0.0,12.4,12.4,11.8
2021-01-08,8.7,11.3,-0.6,4313700.0,49973000000.0,0.0,0.0,11.85,12.0,11.1
2021-01-11,9.01,11.7,0.4,2214100.0,25852000000.0,0.0,0.0,11.5,11.9,11.25
2021-01-12,9.51,12.35,0.65,1702900.0,20411000000.0,0.0,0.0,11.7,12.35,11.5
2021-01-13,9.47,12.3,-0.05,1770600.0,21987000000.0,0.0,0.0,12.4,12.7,12.0
2021-01-14,9.36,12.15,-0.15,1430000.0,17237000000.0,0.0,0.0,12.3,12.35,11.45
2021-01-15,9.17,11.9,-0.25,2029200.0,24161000000.0,0.0,0.0,12.25,12.35,11.5
2021-01-18,9.47,12.3,0.4,1895800.0,23195000000.0,0.0,0.0,11.6,12.55,11.6
2021-01-19,8.82,11.45,-0.85,1531900.0,18023000000.0,0.0,0.0,12.3,12.3,11.45
2021-01-20,8.51,11.05,-0.4,1614300.0,17483000000.0,0.0,0.0,11.45,11.45,10.65
2021-01-21,8.63,11.2,0.15,3444200.0,36723000000.0,0.0,0.0,11.4,11.4,10.3
2021-01-22,8.05,10.45,-0.75,1508400.0,16199000000.0,0.0,0.0,10.8,11.3,10.45
2021-01-25,8.28,10.75,0.3,2295200.0,23509000000.0,0.0,0.0,9.8,11.05,9.79
2021-01-26,8.24,10.7,-0.05,1452200.0,14776000000.0,0.0,0.0,10.6,10.7,10.0
2021-01-27,7.7,9.99,-0.71,1353500.0,13660000000.0,1348962.0,13483831760.0,10.2,10.65,9.96
2021-01-28,7.16,9.3,-0.69,623900.0,5802000000.0,0.0,0.0,9.3,9.3,9.3
2021-01-29,7.16,9.3,0.0,1598100.0,14054000000.0,0.0,0.0,8.65,9.3,8.65
2021-02-01,6.66,8.65,-0.65,851700.0,7423000000.0,0.0,0.0,9.2,9.2,8.65
2021-02-02,6.46,8.38,-0.27,1599500.0,13112000000.0,0.0,0.0,8.08,8.6,8.05
2021-02-03,6.9,8.96,0.58,1547200.0,13550000000.0,0.0,0.0,8.46,8.96,8.3
2021-02-04,7.03,9.13,0.17,511000.0,4661000000.0,0.0,0.0,9.1,9.4,8.91
2021-02-05,7.51,9.75,0.62,919300.0,8544000000.0,0.0,0.0,9.13,9.75,8.93
2021-02-08,7.26,9.42,-0.33,926400.0,8775000000.0,0.0,0.0,9.42,9.84,9.07
2021-02-09,7.25,9.41,-0.01,1155600.0,10928000000.0,0.0,0.0,9.3,9.6,9.15
2021-02-17,7.74,10.05,0.64,1917200.0,18924000000.0,0.0,0.0,9.41,10.05,9.41
2021-02-18,8.01,10.4,0.35,1775100.0,18311000000.0,0.0,0.0,10.45,10.6,10.1
2021-02-19,7.9,10.25,-0.15,1078000.0,11062000000.0,0.0,0.0,10.1,10.45,10.0
