date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,19.25,19.25,-0.85,469550.0,9060000000.0,550000.0,11000000000.0,19.5,19.6,18.95
2021-01-04,19.5,19.5,0.25,673900.0,13033000000.0,0.0,0.0,19.25,19.7,19.1
2021-01-05,19.5,19.5,0.0,409200.0,7960000000.0,5490000.0,106457000000.0,19.6,19.6,19.25
2021-01-06,20.5,20.5,1.0,1034500.0,20358000000.0,2876038.0,55933941000.0,19.5,20.5,19.2
2021-01-07,20.1,20.1,-0.4,475500.0,9586000000.0,493000.0,10106500000.0,20.5,20.5,20.0
2021-01-08,20.4,20.4,0.3,478500.0,9690000000.0,490000.0,9383500000.0,20.05,20.5,20.0
2021-01-11,20.2,20.2,-0.2,501400.0,10150000000.0,0.0,0.0,20.4,20.5,20.0
2021-01-12,20.2,20.2,0.0,349300.0,7065000000.0,2000000.0,40400000000.0,20.4,20.4,20.0
2021-01-13,21.5,21.5,1.3,1941500.0,41414000000.0,15990001.0,321098020200.0,20.2,21.6,20.1
2021-01-14,21.6,21.6,0.1,508000.0,11103000000.0,0.0,0.0,21.9,22.35,21.2
2021-01-15,22.0,22.0,0.4,526700.0,11516000000.0,0.0,0.0,21.6,22.15,21.6
2021-01-18,21.45,21.45,-0.55,554800.0,11894000000.0,0.0,0.0,22.0,22.0,21.0
2021-01-19,20.2,20.2,-1.25,658600.0,13335000000.0,0.0,0.0,20.6,21.25,19.95
2021-01-20,20.2,20.2,0.0,694800.0,13351000000.0,0.0,0.0,19.6,20.2,18.8
2021-01-21,20.0,20.0,-0.2,477800.0,9510000000.0,7534409.0,152195061800.0,20.2,20.45,19.5
2021-01-22,20.5,20.5,0.5,404000.0,8206000000.0,0.0,0.0,20.3,20.5,20.0
2021-01-25,20.0,20.0,-0.5,936400.0,18665000000.0,200000.0,4000000000.0,20.35,20.35,19.7
2021-01-26,18.8,18.8,-1.2,780700.0,15072000000.0,2863700.0,56130250000.0,20.1,20.1,18.6
2021-01-27,17.7,17.7,-1.1,1712100.0,30599000000.0,5350000.0,101925000000.0,18.85,18.85,17.6
2021-01-28,18.1,18.1,0.4,2110100.0,36385000000.0,2245000.0,38165000000.0,16.7,18.1,16.5
2021-01-29,16.85,16.85,-1.25,2393800.0,40759000000.0,945000.0,17497500000.0,17.0,18.0,16.85
2021-02-01,17.5,17.5,0.65,1126000.0,19288000000.0,2969690.0,51346605000.0,16.85,17.5,16.85
2021-02-02,17.5,17.5,0.0,1296200.0,22276000000.0,1260000.0,22050000000.0,17.0,17.6,16.7
2021-02-03,17.9,17.9,0.4,1616400.0,28362000000.0,2887500.0,52931250000.0,17.4,18.0,17.25
2021-02-04,17.8,17.8,-0.1,360400.0,6350000000.0,300010.0,5674177000.0,17.8,17.9,17.25
2021-02-05,17.9,17.9,0.1,445500.0,7920000000.0,0.0,0.0,17.8,17.9,17.55
2021-02-08,17.75,17.75,-0.15,452800.0,7959000000.0,488700.0,8747730000.0,17.75,17.85,17.3
2021-02-09,17.8,17.8,0.05,272400.0,4806000000.0,0.0,0.0,17.5,17.9,17.4
2021-02-17,18.0,18.0,0.2,460900.0,8246000000.0,1800000.0,32040000000.0,17.8,18.3,17.55
2021-02-18,18.5,18.5,0.5,476800.0,8607000000.0,250000.0,4187500000.0,18.0,18.5,17.7
2021-02-19,18.5,18.5,0.0,330500.0,6044000000.0,64000.0,1248000000.0,18.0,18.5,17.95
2021-02-22,18.3,18.3,-0.2,491400.0,8933000000.0,300000.0,5850000000.0,18.45,18.45,18.05
2021-02-23,18.3,18.3,0.0,489400.0,8881000000.0,160000.0,3010000000.0,18.3,18.3,18.0
2021-02-24,18.2,18.2,-0.1,327900.0,5910000000.0,0.0,0.0,18.3,18.3,17.9
2021-02-25,18.1,18.1,-0.1,235900.0,4244000000.0,1002700.0,18855715000.0,18.2,18.2,17.85
2021-02-26,18.1,18.1,0.0,231700.0,4151000000.0,4200000.0,75600000000.0,17.8,18.1,17.8
2021-03-01,18.45,18.45,0.35,648800.0,11815000000.0,1800000.0,32040000000.0,18.1,18.5,18.0
2021-03-02,18.8,18.8,0.35,1273300.0,23826000000.0,0.0,0.0,18.6,18.95,18.5
2021-03-03,18.75,18.75,-0.05,234000.0,4367000000.0,830500.0,15613400000.0,18.85,18.85,18.5
2021-03-04,18.6,18.6,-0.15,338600.0,6271000000.0,40000.0,740000000.0,18.8,18.8,18.1
2021-03-05,18.5,18.5,-0.1,214100.0,3903000000.0,469000.0,8699100000.0,18.6,18.6,18.05
2021-03-08,18.45,18.45,-0.05,551800.0,10135000000.0,1348500.0,25126800000.0,18.5,18.55,18.2
2021-03-09,18.4,18.4,-0.05,173700.0,3168000000.0,218000.0,4022100000.0,18.15,18.4,18.15
2021-03-10,18.4,18.4,0.0,220200.0,4022000000.0,0.0,0.0,18.15,18.4,18.05
2021-03-11,18.4,18.4,0.0,329200.0,6038000000.0,3049000.0,56078400000.0,18.4,18.4,18.25
2021-03-12,18.4,18.4,0.0,292800.0,5373000000.0,282000.0,5196500000.0,18.4,18.45,18.3
2021-03-15,18.45,18.45,0.05,391500.0,7226000000.0,518900.0,10170440000.0,18.5,18.5,18.4
2021-03-16,18.4,18.4,-0.05,277100.0,5074000000.0,1868300.0,34387435000.0,18.45,18.45,18.1
2021-03-17,18.45,18.45,0.05,192700.0,3543000000.0,0.0,0.0,18.4,18.5,18.2
2021-03-18,19.15,19.15,0.7,1112500.0,21009000000.0,100000.0,1950000000.0,18.6,19.25,18.6
2021-03-19,19.7,19.7,0.55,1077500.0,21081000000.0,1926262.0,36856494000.0,19.2,19.8,19.2
2021-03-22,19.35,19.35,-0.35,355500.0,6947000000.0,725400.0,14615380000.0,19.9,19.9,19.15
2021-03-23,19.0,19.0,-0.35,769300.0,14615000000.0,0.0,0.0,19.3,19.35,18.55
2021-03-24,18.5,18.5,-0.5,612100.0,11368000000.0,0.0,0.0,18.15,18.8,18.15
2021-03-25,19.0,19.0,0.5,512200.0,9599000000.0,1799700.0,34079240000.0,18.3,19.15,18.3
2021-03-26,19.0,19.0,0.0,274500.0,5131000000.0,952000.0,18088000000.0,19.0,19.0,18.2
2021-03-29,18.9,18.9,-0.1,367700.0,6903000000.0,680000.0,12920000000.0,19.0,19.0,18.55
2021-03-30,19.5,19.5,0.6,1753400.0,33526000000.0,1002900.0,18572490000.0,18.9,19.7,18.85
2021-03-31,20.1,20.1,0.6,2160100.0,43518000000.0,1200000.0,24000000000.0,19.65,20.7,19.5
2021-04-01,20.3,20.3,0.2,854700.0,17421000000.0,2622700.0,52454000000.0,20.85,20.85,20.2
2021-04-02,20.4,20.4,0.1,1290800.0,26306000000.0,200000.0,4300000000.0,20.35,20.55,20.2
2021-04-05,21.8,21.8,1.4,1780700.0,38660000000.0,200000.0,4300000000.0,21.0,21.8,21.0
2021-04-06,23.1,23.1,1.3,2478600.0,56515000000.0,1600000.0,32480000000.0,22.6,23.2,22.2
2021-04-07,23.0,23.0,-0.1,1277500.0,29297000000.0,1624000.0,38328000000.0,23.15,23.15,22.5
2021-04-08,22.8,22.8,-0.2,682800.0,15635000000.0,1300000.0,29900000000.0,23.05,23.1,22.65
2021-04-09,22.45,22.45,-0.35,1124000.0,25285000000.0,900000.0,21180000000.0,22.8,22.8,22.3
2021-04-12,23.4,23.4,0.95,1582900.0,36057000000.0,920000.0,19879000000.0,22.5,23.4,22.45
