date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,15.2,23.75,0.15,2587530.0,61489000000.0,0.0,0.0,23.7,23.95,23.6
2021-01-04,15.42,24.1,0.35,6829000.0,164214000000.0,0.0,0.0,24.15,24.2,23.9
2021-01-05,15.84,24.75,0.65,7231800.0,178783000000.0,0.0,0.0,24.1,24.9,24.1
2021-01-06,16.42,25.65,0.9,11331100.0,289113000000.0,0.0,0.0,24.8,26.1,24.8
2021-01-07,17.15,26.8,1.15,8328800.0,219730000000.0,709900.0,18208935000.0,26.0,26.95,25.95
2021-01-08,17.34,27.1,0.3,6924700.0,188072000000.0,0.0,0.0,27.2,27.5,26.8
2021-01-11,17.18,26.85,-0.25,6768300.0,182202000000.0,0.0,0.0,27.2,27.45,26.5
2021-01-12,17.12,26.75,-0.1,5101900.0,135647000000.0,0.0,0.0,26.7,26.9,26.3
2021-01-13,17.18,26.85,0.1,6388800.0,171479000000.0,800000.0,21460000000.0,26.75,27.0,26.7
2021-01-14,17.15,26.8,-0.05,3675000.0,98254000000.0,75000.0,1998750000.0,27.0,27.0,26.5
2021-01-15,17.86,27.9,1.1,7103500.0,194597000000.0,200000.0,5478000000.0,27.0,28.0,26.95
2021-01-18,17.44,27.25,-0.65,5150200.0,141388000000.0,0.0,0.0,27.9,27.9,27.0
2021-01-19,16.22,25.35,-1.9,5782200.0,150372000000.0,797409.0,21540395250.0,27.0,27.0,25.35
2021-01-20,16.32,25.5,0.15,6660300.0,166260000000.0,0.0,0.0,25.35,25.85,24.0
2021-01-21,16.51,25.8,0.3,4714900.0,120769000000.0,0.0,0.0,25.7,26.3,25.0
2021-01-22,16.7,26.1,0.3,2937200.0,76370000000.0,1500000.0,39020000000.0,25.8,26.45,25.7
2021-01-25,16.42,25.65,-0.45,2373100.0,61185000000.0,925000.0,23993700000.0,26.1,26.1,25.5
2021-01-26,15.68,24.5,-1.15,3770100.0,93258000000.0,0.0,0.0,25.4,25.4,24.0
2021-01-27,14.91,23.3,-1.2,4373100.0,104410000000.0,300000.0,7038000000.0,24.05,24.75,23.0
2021-01-28,13.89,21.7,-1.6,4508900.0,98462000000.0,0.0,0.0,21.7,22.3,21.7
2021-01-29,14.27,22.3,0.6,5395400.0,117037000000.0,0.0,0.0,20.2,23.2,20.2
2021-02-01,14.21,22.2,-0.1,3380300.0,75871000000.0,60702.0,1347584400.0,22.4,23.15,21.8
2021-02-02,14.85,23.2,1.0,3057100.0,69070000000.0,793300.0,18329700000.0,22.2,23.5,21.95
2021-02-03,15.36,24.0,0.8,4470000.0,105640000000.0,27600.0,640320000.0,23.4,24.1,23.2
2021-02-04,15.07,23.55,-0.45,3323600.0,78834000000.0,1700000.0,39950000000.0,24.0,24.15,23.35
2021-02-05,15.42,24.1,0.55,3084000.0,73575000000.0,216200.0,5091510000.0,23.6,24.1,23.55
2021-02-08,15.01,23.45,-0.65,3918400.0,92182000000.0,0.0,0.0,23.45,24.1,22.85
2021-02-09,15.42,24.1,0.65,3156000.0,75025000000.0,0.0,0.0,23.6,24.1,23.3
2021-02-17,16.26,25.4,1.3,4203900.0,103777000000.0,0.0,0.0,24.3,25.4,24.1
2021-02-18,16.32,25.5,0.1,4632300.0,117876000000.0,751200.0,19103016000.0,25.4,25.8,25.0
2021-02-19,16.35,25.55,0.05,4034000.0,102522000000.0,415440.0,10552176000.0,25.1,25.75,24.9
2021-02-22,16.51,25.8,0.25,6535800.0,168547000000.0,83600.0,2148520000.0,25.55,26.2,25.55
2021-02-23,16.61,25.95,0.15,4611000.0,119855000000.0,0.0,0.0,25.6,26.25,25.5
2021-02-24,16.29,25.45,-0.5,4438700.0,114105000000.0,0.0,0.0,26.0,26.15,25.2
2021-02-25,16.32,25.5,0.05,4931000.0,124471000000.0,0.0,0.0,25.65,25.7,24.8
2021-02-26,16.1,25.15,-0.35,4328500.0,108655000000.0,0.0,0.0,25.0,25.4,24.95
2021-03-01,16.51,25.8,0.65,3271800.0,83726000000.0,0.0,0.0,25.3,25.8,25.3
2021-03-02,17.09,26.7,0.9,8274900.0,217555000000.0,282200.0,7280760000.0,26.1,27.0,25.9
2021-03-03,17.25,26.95,0.25,5701400.0,153757000000.0,0.0,0.0,26.75,27.3,26.5
2021-03-04,16.77,26.2,-0.75,4433800.0,117250000000.0,0.0,0.0,26.9,27.0,25.8
2021-03-05,16.54,25.85,-0.35,5045400.0,130652000000.0,20050.0,520297500.0,26.2,26.3,25.6
2021-03-08,16.61,25.95,0.1,2950800.0,76708000000.0,0.0,0.0,26.2,26.3,25.85
2021-03-09,16.61,25.95,0.0,2548600.0,65425000000.0,0.0,0.0,25.85,26.1,25.25
2021-03-10,16.7,26.1,0.15,2806700.0,72687000000.0,0.0,0.0,25.95,26.2,25.6
2021-03-11,16.9,26.4,0.3,3621700.0,95661000000.0,0.0,0.0,26.5,26.6,26.1
2021-03-12,17.06,26.65,0.25,4051500.0,108031000000.0,0.0,0.0,26.5,26.85,26.45
2021-03-15,17.06,26.65,0.0,2840700.0,75735000000.0,0.0,0.0,26.65,26.8,26.55
2021-03-16,17.15,26.8,0.15,4549400.0,121631000000.0,0.0,0.0,26.8,26.9,26.5
2021-03-17,17.6,27.5,0.6,7798100.0,213965000000.0,0.0,0.0,26.9,27.6,26.9
2021-03-18,17.6,27.5,0.0,7237000.0,197969000000.0,0.0,0.0,27.8,27.8,27.0
2021-03-19,17.38,27.15,-0.35,4935200.0,133935000000.0,0.0,0.0,27.3,27.4,26.95
2021-03-22,17.25,26.95,-0.2,3963200.0,106924000000.0,0.0,0.0,27.15,27.15,26.7
2021-03-23,16.96,26.5,-0.45,3947000.0,105110000000.0,0.0,0.0,26.95,26.95,26.3
2021-03-24,16.32,25.5,-1.0,5338200.0,138131000000.0,0.0,0.0,26.1,26.3,25.0
2021-03-25,16.38,25.6,0.1,4130500.0,105964000000.0,0.0,0.0,25.5,25.9,25.4
2021-03-26,16.48,25.75,0.15,4007600.0,102102000000.0,0.0,0.0,25.5,25.95,24.8
2021-03-29,16.64,26.0,0.25,3149300.0,81395000000.0,0.0,0.0,26.0,26.2,25.7
2021-03-30,16.77,26.2,0.2,4092000.0,106650000000.0,0.0,0.0,26.1,26.35,25.85
