date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,10.01,12.4,0.05,6396760.0,79266000000.0,0.0,0.0,12.35,12.5,12.3
2021-01-04,10.21,12.65,0.25,8814700.0,111170000000.0,0.0,0.0,12.55,12.7,12.5
2021-01-05,10.9,13.5,0.85,24349300.0,321467000000.0,0.0,0.0,12.6,13.5,12.55
2021-01-06,11.3,14.0,0.5,16644800.0,232236000000.0,0.0,0.0,14.0,14.2,13.65
2021-01-07,11.22,13.9,-0.1,9246000.0,128318000000.0,0.0,0.0,14.0,14.05,13.6
2021-01-08,11.34,14.05,0.15,19580100.0,274176000000.0,20093.0,281302000.0,13.9,14.25,13.75
2021-01-11,11.22,13.9,-0.15,23446200.0,325137000000.0,38198.0,500393800.0,14.1,14.2,13.7
2021-01-12,11.06,13.7,-0.2,13021500.0,178160000000.0,0.0,0.0,13.8,13.85,13.55
2021-01-13,11.22,13.9,0.2,14249500.0,199220000000.0,0.0,0.0,13.75,14.15,13.75
2021-01-14,11.63,14.4,0.5,14964800.0,210785000000.0,0.0,0.0,14.0,14.4,13.85
2021-01-15,12.07,14.95,0.55,16530300.0,245786000000.0,0.0,0.0,14.5,15.15,14.5
2021-01-18,11.91,14.75,-0.2,13224100.0,198102000000.0,0.0,0.0,15.1,15.2,14.75
2021-01-19,11.14,13.8,-0.95,17853400.0,252936000000.0,0.0,0.0,14.6,14.7,13.75
2021-01-20,11.14,13.8,0.0,15018300.0,201903000000.0,0.0,0.0,13.8,13.95,12.85
2021-01-21,11.46,14.2,0.4,8957600.0,126547000000.0,0.0,0.0,14.25,14.25,13.85
2021-01-22,11.59,14.35,0.15,15290300.0,218745000000.0,0.0,0.0,14.25,14.45,14.15
2021-01-25,11.55,14.3,-0.05,9574400.0,137063000000.0,0.0,0.0,14.3,14.45,14.15
2021-01-26,11.18,13.85,-0.45,10126700.0,140620000000.0,0.0,0.0,14.2,14.2,13.5
2021-01-27,10.9,13.5,-0.35,9796200.0,134339000000.0,0.0,0.0,13.8,14.05,13.4
2021-01-28,10.17,12.6,-0.9,12732500.0,161212000000.0,0.0,0.0,12.6,12.95,12.6
2021-01-29,10.21,12.65,0.05,11086300.0,138686000000.0,0.0,0.0,11.8,13.15,11.8
2021-02-01,9.69,12.0,-0.65,8298100.0,101748000000.0,0.0,0.0,12.45,12.75,11.95
2021-02-02,10.01,12.4,0.4,7866100.0,95090000000.0,0.0,0.0,11.8,12.5,11.6
2021-02-03,10.7,13.25,0.85,9285600.0,119307000000.0,0.0,0.0,12.7,13.25,12.4
2021-02-04,10.78,13.35,0.1,6158100.0,81977000000.0,0.0,0.0,13.25,13.5,13.05
2021-02-05,11.3,14.0,0.65,8748700.0,120227000000.0,0.0,0.0,13.3,14.0,13.3
2021-02-08,11.42,14.15,0.15,17862700.0,258692000000.0,0.0,0.0,14.15,14.9,14.0
2021-02-09,11.87,14.7,0.55,11482300.0,167648000000.0,0.0,0.0,14.25,14.8,14.25
2021-02-17,11.99,14.85,0.15,11925100.0,178419000000.0,0.0,0.0,14.9,15.2,14.7
2021-02-18,11.83,14.65,-0.2,8353900.0,123305000000.0,1000000.0,13900000000.0,14.85,14.95,14.6
2021-02-19,11.87,14.7,0.05,12657400.0,187063000000.0,1000000.0,13700000000.0,14.5,15.1,14.45
2021-02-22,11.87,14.7,0.0,15463000.0,227935000000.0,0.0,0.0,14.75,14.9,14.55
2021-02-23,11.79,14.6,-0.1,14798200.0,216288000000.0,0.0,0.0,14.7,14.75,14.45
2021-02-24,11.55,14.3,-0.3,13175700.0,191296000000.0,0.0,0.0,14.6,14.75,14.3
2021-02-25,11.79,14.6,0.3,10131400.0,146943000000.0,0.0,0.0,14.4,14.65,14.3
2021-02-26,11.87,14.7,0.1,9315300.0,136245000000.0,0.0,0.0,14.4,14.8,14.3
2021-03-01,12.68,15.7,1.0,36421300.0,561705000000.0,0.0,0.0,14.9,15.7,14.9
2021-03-02,13.0,16.1,0.4,13665000.0,219869000000.0,0.0,0.0,16.2,16.4,15.75
2021-03-03,12.88,15.95,-0.15,9087400.0,145763000000.0,0.0,0.0,16.0,16.2,15.85
2021-03-04,12.51,15.5,-0.45,17022800.0,266252000000.0,0.0,0.0,15.95,16.1,15.1
2021-03-05,12.72,15.75,0.25,11077600.0,171452000000.0,0.0,0.0,15.25,15.9,15.15
2021-03-08,12.68,15.7,-0.05,8146600.0,128543000000.0,0.0,0.0,16.0,16.0,15.6
2021-03-09,12.68,15.7,0.0,8925400.0,139186000000.0,0.0,0.0,15.5,15.95,15.35
2021-03-10,12.88,15.95,0.25,12470100.0,198361000000.0,0.0,0.0,15.7,16.25,15.65
2021-03-11,12.96,16.05,0.1,8092200.0,129800000000.0,0.0,0.0,16.05,16.2,15.9
2021-03-12,13.32,16.5,0.45,19801800.0,322190000000.0,0.0,0.0,16.1,16.6,16.05
