date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,14.2,23.0,0.1,14034660.0,322937000000.0,230000.0,5623500000.0,23.05,23.1,22.95
2021-01-04,14.78,23.95,0.95,42370800.0,1003926000000.0,935600.0,21941924000.0,23.4,24.35,23.1
2021-01-05,15.52,25.15,1.2,34044900.0,839876000000.0,100000.0,2230000000.0,24.15,25.15,23.95
2021-01-06,15.62,25.3,0.15,22063300.0,562462000000.0,496000.0,11011500000.0,25.5,26.0,25.0
2021-01-07,15.99,25.9,0.6,18918200.0,484010000000.0,1354200.0,34194260000.0,25.5,25.95,25.25
2021-01-08,16.42,26.6,0.7,25861800.0,688748000000.0,0.0,0.0,26.2,27.35,26.0
2021-01-11,16.26,26.35,-0.25,23381600.0,624657000000.0,60000.0,1485000000.0,27.0,27.2,26.2
2021-01-12,16.14,26.15,-0.2,16552100.0,433020000000.0,449500.0,11448245000.0,26.35,26.5,25.7
2021-01-13,16.05,26.0,-0.15,18649800.0,488762000000.0,107600.0,2826610000.0,26.15,26.6,25.9
2021-01-14,16.29,26.4,0.4,20138800.0,525484000000.0,1000000.0,27500000000.0,26.3,26.4,25.85
2021-01-15,16.51,26.75,0.35,19922700.0,535056000000.0,1500000.0,40335000000.0,26.9,27.2,26.55
2021-01-18,16.17,26.2,-0.55,13838300.0,366146000000.0,500000.0,13276000000.0,26.75,26.85,26.2
2021-01-19,15.06,24.4,-1.8,22184900.0,557051000000.0,1771000.0,46400200000.0,26.2,26.2,24.4
2021-01-20,15.06,24.4,0.0,23198100.0,553673000000.0,664000.0,15965280000.0,24.4,24.75,22.9
2021-01-21,15.92,25.8,1.4,14714600.0,367177000000.0,520000.0,12722000000.0,25.0,25.8,24.4
2021-01-22,15.8,25.6,-0.2,12400500.0,317712000000.0,0.0,0.0,25.7,25.95,25.3
2021-01-25,15.55,25.2,-0.4,10924900.0,277421000000.0,0.0,0.0,25.4,25.8,25.15
2021-01-26,15.8,25.6,0.4,19797100.0,483158000000.0,460000.0,11382000000.0,25.15,25.6,23.75
2021-01-27,14.81,24.0,-1.6,22798000.0,552871000000.0,0.0,0.0,24.8,25.25,23.85
2021-01-28,13.8,22.35,-1.65,20362200.0,459117000000.0,5522300.0,125008405000.0,22.5,23.0,22.35
2021-01-29,14.47,23.45,1.1,19607700.0,440735000000.0,289000.0,6768050000.0,21.3,23.5,21.3
2021-02-01,13.58,22.0,-1.45,16163000.0,368393000000.0,91500.0,2013000000.0,23.0,23.5,21.95
2021-02-02,14.41,23.35,1.35,14396700.0,327134000000.0,873100.0,20044980000.0,22.6,23.4,21.95
2021-02-03,14.97,24.25,0.9,19837900.0,473003000000.0,610400.0,14252840000.0,23.7,24.35,23.4
2021-02-04,14.84,24.05,-0.2,11089600.0,267476000000.0,0.0,0.0,24.3,24.35,23.8
2021-02-05,15.28,24.75,0.7,11885000.0,290700000000.0,376100.0,9045205000.0,24.2,24.8,24.05
2021-02-08,14.75,23.9,-0.85,22263700.0,545528000000.0,1000000.0,24020000000.0,23.9,25.2,23.85
2021-02-09,15.28,24.75,0.85,15933800.0,387378000000.0,1000000.0,24185000000.0,24.0,24.75,23.8
2021-02-17,15.92,25.8,1.05,18470000.0,469831000000.0,0.0,0.0,25.15,25.8,25.0
2021-02-18,16.17,26.2,0.4,23346000.0,605829000000.0,20681.0,533569800.0,26.0,26.3,25.6
2021-02-19,16.57,26.85,0.65,30003300.0,801400000000.0,221122.0,5804566400.0,25.9,27.4,25.8
2021-02-22,16.48,26.7,-0.15,19791100.0,529817000000.0,111100.0,2983035000.0,26.85,27.15,26.3
2021-02-23,16.91,27.4,0.7,31587900.0,858080000000.0,5135323.0,139379720000.0,26.75,27.5,26.6
2021-02-24,16.67,27.0,-0.4,19888900.0,543379000000.0,1350000.0,36729000000.0,27.65,27.8,26.9
2021-02-25,16.85,27.3,0.3,17887600.0,485834000000.0,1365000.0,37231500000.0,27.3,27.45,26.85
2021-02-26,17.07,27.65,0.35,22352200.0,612082000000.0,1802422.0,49787497350.0,26.8,27.8,26.7
2021-03-01,17.5,28.35,0.7,22065400.0,621541000000.0,0.0,0.0,28.05,28.45,27.9
2021-03-02,17.34,28.1,-0.25,14005100.0,396826000000.0,927585.0,25540336950.0,28.65,28.7,28.0
2021-03-03,17.28,28.0,-0.1,16468900.0,462270000000.0,1500000.0,42090000000.0,28.0,28.4,27.9
2021-03-04,16.76,27.15,-0.85,23153000.0,638150000000.0,3000000.0,81920000000.0,28.0,28.2,26.9
2021-03-05,16.88,27.35,0.2,19035300.0,515464000000.0,640426.0,16722853500.0,27.1,27.5,26.8
2021-03-08,17.04,27.6,0.25,14809500.0,408743000000.0,0.0,0.0,27.7,27.85,27.25
2021-03-09,16.85,27.3,-0.3,12179900.0,331558000000.0,323500.0,8793950000.0,27.2,27.55,27.0
2021-03-10,17.25,27.95,0.65,21590100.0,596664000000.0,4230000.0,116854500000.0,27.4,28.1,27.1
2021-03-11,17.44,28.25,0.3,16459200.0,465084000000.0,572000.0,15997000000.0,28.25,28.5,28.1
2021-03-12,17.44,28.25,0.0,16339100.0,462876000000.0,523500.0,14782750000.0,28.4,28.45,28.15
2021-03-15,17.84,28.9,0.65,23273400.0,663326000000.0,1300000.0,37050000000.0,28.4,28.9,28.2
2021-03-16,17.68,28.65,-0.25,12749900.0,366121000000.0,70000.0,1883000000.0,29.1,29.15,28.35
2021-03-17,17.9,29.0,0.35,14185100.0,408887000000.0,0.0,0.0,28.65,29.0,28.65
2021-03-18,18.02,29.2,0.2,13051200.0,380529000000.0,803300.0,23416195000.0,29.3,29.35,29.0
2021-03-19,18.02,29.2,0.0,9917000.0,289141000000.0,69000.0,2001000000.0,29.0,29.35,29.0
2021-03-22,17.68,28.65,-0.55,15628700.0,450298000000.0,540200.0,15769974000.0,29.2,29.25,28.5
2021-03-23,17.5,28.35,-0.3,15105300.0,430512000000.0,820000.0,23333000000.0,28.65,28.7,28.25
2021-03-24,17.04,27.6,-0.75,16076400.0,448176000000.0,250000.0,6820500000.0,28.0,28.15,27.4
2021-03-25,17.0,27.55,-0.05,13199800.0,366052000000.0,0.0,0.0,27.7,28.0,27.5
2021-03-26,16.97,27.5,-0.05,14311100.0,389415000000.0,200000.0,5200000000.0,27.3,27.75,26.75
2021-03-29,17.44,28.25,0.75,16883500.0,469197000000.0,169000.0,4941000000.0,27.65,28.3,27.5
2021-03-30,17.47,28.3,0.05,13184900.0,373164000000.0,109000.0,3070530000.0,28.25,28.7,27.95
2021-03-31,17.37,28.15,-0.15,10510400.0,297552000000.0,24300.0,687204000.0,28.35,28.55,28.1
2021-04-01,18.02,29.2,1.05,19588200.0,560837000000.0,252000.0,7066800000.0,28.25,29.2,28.2
2021-04-02,18.27,29.6,0.4,17890400.0,528225000000.0,0.0,0.0,29.6,29.7,29.25
2021-04-05,18.76,30.4,0.8,26102300.0,786402000000.0,485200.0,14281920000.0,30.25,30.4,29.8
2021-04-06,19.38,31.4,1.0,33236600.0,1033810000000.0,393800.0,12253150000.0,30.7,31.45,30.5
2021-04-07,19.63,31.8,0.4,23620400.0,750542000000.0,64000.0,2009600000.0,31.5,32.05,31.45
2021-04-08,19.26,31.2,-0.6,22368700.0,700878000000.0,157796.0,4754348000.0,31.8,31.8,31.0
2021-04-09,19.35,31.35,0.15,16904800.0,527099000000.0,450900.0,14045523000.0,31.1,31.45,30.85
2021-04-12,19.54,31.65,0.3,16624100.0,524387000000.0,128000.0,4019200000.0,31.6,31.75,31.35
2021-04-13,19.2,31.1,-0.55,22558600.0,705743000000.0,131600.0,4033320000.0,31.8,31.8,30.9
2021-04-14,19.29,31.25,0.15,15096700.0,468303000000.0,128800.0,4005680000.0,30.8,31.35,30.6
2021-04-15,18.89,30.6,-0.65,18900600.0,582670000000.0,128000.0,4025600000.0,31.25,31.25,30.55
2021-04-16,18.64,30.2,-0.4,17708300.0,534984000000.0,853100.0,25382560000.0,30.4,30.65,29.8
2021-04-19,18.83,30.5,0.3,13993700.0,424210000000.0,195800.0,6035520000.0,30.45,30.8,29.95
2021-04-20,18.83,30.5,0.0,12942400.0,396791000000.0,288500.0,8898100000.0,30.7,31.0,30.1
2021-04-22,18.02,29.2,-1.3,13234000.0,397669000000.0,510300.0,15497035000.0,30.4,30.5,29.2
2021-04-23,18.7,30.3,1.1,16710100.0,495113000000.0,205000.0,6056350000.0,29.2,30.3,29.1
2021-04-26,18.27,29.6,-0.7,14253600.0,425627000000.0,267500.0,8165350000.0,30.3,30.3,29.5
2021-04-27,18.27,29.6,0.0,10054300.0,298445000000.0,267600.0,7959860000.0,29.6,29.95,29.2
2021-04-28,18.67,30.25,0.65,17389600.0,527615000000.0,288000.0,8578500000.0,29.6,30.8,29.6
2021-04-29,18.73,30.35,0.1,18937600.0,577907000000.0,267500.0,8178725000.0,30.5,30.95,30.35
2021-05-04,19.29,31.25,0.9,24397100.0,749418000000.0,7159874.0,202381480500.0,29.6,31.35,29.6
2021-05-05,19.57,31.7,0.45,25875400.0,824643000000.0,2569372.0,75048225200.0,31.55,32.4,31.5
2021-05-06,19.5,31.6,-0.1,18915500.0,599619000000.0,147000.0,4684800000.0,31.7,32.1,31.35
2021-05-07,19.5,31.6,0.0,24764800.0,779693000000.0,67600.0,2024620000.0,31.3,31.7,31.2
2021-05-10,20.49,33.2,1.6,36389900.0,1179331000000.0,330000.0,9969000000.0,31.6,33.45,31.55
2021-05-11,20.18,32.7,-0.5,20385100.0,674718000000.0,5000000.0,154500000000.0,33.2,33.4,32.7
2021-05-12,20.49,33.2,0.5,21106000.0,692008000000.0,84000.0,2664000000.0,32.55,33.2,32.45
2021-05-13,20.34,32.95,-0.25,26896800.0,892756000000.0,0.0,0.0,32.8,33.8,32.8
2021-05-14,20.37,33.0,0.05,21651900.0,717422000000.0,213000.0,6949350000.0,33.4,33.4,32.85
2021-05-17,20.31,32.9,-0.1,19181800.0,633495000000.0,61000.0,2013000000.0,33.5,33.5,32.8
2021-05-18,20.55,33.3,0.4,23037800.0,759913000000.0,400000.0,12716000000.0,32.85,33.5,32.6
2021-05-19,21.29,34.5,1.2,29370700.0,997912000000.0,333000.0,10689000000.0,33.7,34.5,33.4
2021-05-20,21.29,34.5,0.0,17314900.0,597486000000.0,831000.0,27019850000.0,34.7,34.75,34.25
2021-05-21,21.39,34.65,0.15,19882300.0,693946000000.0,625500.0,21354750000.0,34.4,35.25,34.25
2021-05-24,21.45,34.75,0.1,20486500.0,710419000000.0,364147.0,11886340750.0,34.8,35.0,34.4
2021-05-25,22.1,35.8,1.05,22789800.0,803374000000.0,264000.0,8958000000.0,34.8,35.8,34.75
2021-05-26,23.15,37.5,1.7,33671000.0,1252280000000.0,985500.0,33036525000.0,36.75,37.5,36.6
2021-05-27,22.53,36.5,-1.0,28188800.0,1045660000000.0,490000.0,17693800000.0,37.5,37.75,36.05
2021-05-28,23.27,37.7,1.2,26378900.0,974141000000.0,224000.0,7752700000.0,36.6,37.7,36.2
2021-05-31,23.45,38.0,0.3,30395700.0,1148807000000.0,809184.0,29219338400.0,38.0,38.3,37.0
2021-06-01,23.58,38.2,0.2,16331400.0,629347000000.0,0.0,0.0,38.6,38.85,38.1
2021-06-02,23.76,38.5,0.3,23682500.0,905162000000.0,471000.0,17781000000.0,37.9,38.7,37.6
2021-06-03,25.4,41.15,2.65,29087000.0,1181419000000.0,1581200.0,59822735000.0,40.0,41.15,39.85
2021-06-04,25.65,41.55,0.4,32896100.0,1373495000000.0,0.0,0.0,41.2,42.7,41.1
2021-06-07,24.53,39.75,-1.8,30845500.0,1231836000000.0,851000.0,33937650000.0,41.5,41.5,39.0
2021-06-08,23.02,37.3,-2.45,29808700.0,1149093000000.0,625900.0,23590296000.0,39.5,39.95,37.1
2021-06-09,23.79,38.55,1.25,30626600.0,1154716000000.0,0.0,0.0,37.1,38.8,36.75
2021-06-10,23.39,37.9,-0.65,15556800.0,596105000000.0,350000.0,12565000000.0,38.5,38.95,37.7
2021-06-11,24.32,39.4,1.5,24998200.0,976892000000.0,20000.0,799000000.0,38.2,39.95,37.75
2021-06-14,24.26,39.3,-0.1,24587000.0,969382000000.0,403040.0,14881972000.0,39.4,39.9,38.9
2021-06-15,24.26,39.3,0.0,24890500.0,978223000000.0,0.0,0.0,39.3,39.95,38.65
2021-06-16,23.89,38.7,-0.6,20702200.0,807555000000.0,30000.0,1110000000.0,39.25,39.55,38.65
2021-06-17,24.63,39.9,1.2,25763900.0,1004305000000.0,885087.0,33749132000.0,38.0,40.0,37.9
2021-06-18,25.03,40.55,0.65,26023700.0,1060077000000.0,100000.0,4100000000.0,41.0,41.0,40.45
2021-06-21,25.09,40.65,0.1,18818600.0,764568000000.0,180000.0,7137000000.0,40.4,40.95,40.1
2021-06-22,25.92,42.0,1.35,35453700.0,1481149000000.0,1869300.0,78268450000.0,41.0,42.45,40.9
2021-06-23,25.86,41.9,-0.1,23680200.0,993017000000.0,45800.0,1832000000.0,42.25,42.45,41.5
2021-06-24,25.92,42.0,0.1,22472700.0,950354000000.0,50000.0,2186000000.0,42.45,42.75,41.7
