date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,11.12,18.8,-0.1,8721150.0,163588000000.0,0.0,0.0,18.8,18.9,18.55
2021-01-04,11.12,18.8,0.0,10019300.0,187435000000.0,0.0,0.0,18.8,18.9,18.4
2021-01-05,11.12,18.8,0.0,6425700.0,120061000000.0,0.0,0.0,18.8,18.8,18.45
2021-01-06,11.48,19.4,0.6,13781900.0,263557000000.0,0.0,0.0,18.85,19.45,18.8
2021-01-07,11.83,20.0,0.6,10025000.0,195920000000.0,20000.0,361000000.0,19.4,20.0,19.3
2021-01-08,12.19,20.6,0.6,9146300.0,186397000000.0,0.0,0.0,20.0,20.7,20.0
2021-01-11,12.25,20.7,0.1,8229200.0,170065000000.0,350000.0,7245000000.0,20.6,20.75,20.5
2021-01-12,12.13,20.5,-0.2,5232000.0,107408000000.0,269300.0,5520650000.0,20.7,20.7,20.4
2021-01-13,11.77,19.9,-0.6,6368000.0,127608000000.0,0.0,0.0,20.35,20.35,19.75
2021-01-14,11.77,19.9,0.0,5747400.0,111663000000.0,0.0,0.0,19.9,19.9,19.0
2021-01-15,11.86,20.05,0.15,6096800.0,120853000000.0,0.0,0.0,19.9,20.05,19.65
2021-01-18,11.6,19.6,-0.45,3836200.0,76012000000.0,0.0,0.0,20.05,20.05,19.6
2021-01-19,10.95,18.5,-1.1,2760800.0,52266000000.0,0.0,0.0,19.65,19.7,18.25
2021-01-20,10.95,18.5,0.0,2122300.0,38464000000.0,0.0,0.0,18.5,18.6,17.45
2021-01-21,10.95,18.5,0.0,5980900.0,110267000000.0,0.0,0.0,18.55,18.6,18.25
2021-01-22,11.01,18.6,0.1,6146500.0,113892000000.0,0.0,0.0,18.55,18.75,18.35
2021-01-25,10.89,18.4,-0.2,2317700.0,42710000000.0,0.0,0.0,18.6,18.6,18.3
2021-01-26,10.77,18.2,-0.2,2076500.0,37076000000.0,0.0,0.0,18.4,18.4,17.5
2021-01-27,10.3,17.4,-0.8,2240000.0,39146000000.0,0.0,0.0,17.9,17.95,17.0
2021-01-28,9.59,16.2,-1.2,1906300.0,30979000000.0,0.0,0.0,16.2,16.9,16.2
2021-01-29,10.0,16.9,0.7,3033900.0,47647000000.0,0.0,0.0,15.1,17.0,15.1
2021-02-01,9.82,16.6,-0.3,1864400.0,30542000000.0,0.0,0.0,16.8,16.8,15.9
2021-02-02,9.79,16.55,-0.05,1491900.0,24599000000.0,0.0,0.0,16.0,16.8,16.0
2021-02-03,10.35,17.5,0.95,3625100.0,60802000000.0,0.0,0.0,16.4,17.5,16.4
2021-02-04,10.24,17.3,-0.2,1112200.0,19240000000.0,0.0,0.0,17.5,17.5,17.1
2021-02-05,10.3,17.4,0.1,2465500.0,42286000000.0,0.0,0.0,17.3,17.4,16.9
2021-02-08,10.06,17.0,-0.4,1467300.0,24977000000.0,0.0,0.0,17.0,17.35,16.75
2021-02-09,10.3,17.4,0.4,1715400.0,29475000000.0,0.0,0.0,17.0,17.45,16.9
2021-02-17,10.65,18.0,0.6,2077100.0,36580000000.0,0.0,0.0,17.5,18.0,17.4
2021-02-18,10.53,17.8,-0.2,1880300.0,33511000000.0,0.0,0.0,17.9,18.0,17.65
2021-02-19,10.95,18.5,0.7,4718300.0,84663000000.0,0.0,0.0,17.75,18.5,17.55
2021-02-22,11.12,18.8,0.3,5623500.0,105032000000.0,0.0,0.0,18.45,18.85,18.45
2021-02-23,11.24,19.0,0.2,5946800.0,111283000000.0,0.0,0.0,18.8,19.0,18.45
2021-02-24,11.21,18.95,-0.05,2317700.0,43501000000.0,0.0,0.0,19.05,19.1,18.4
2021-02-25,11.06,18.7,-0.25,1531300.0,28559000000.0,0.0,0.0,18.9,18.9,18.45
2021-02-26,11.09,18.75,0.05,2349300.0,43574000000.0,0.0,0.0,18.4,18.75,18.1
2021-03-01,11.21,18.95,0.2,3239900.0,60927000000.0,0.0,0.0,18.75,18.95,18.65
2021-03-02,11.21,18.95,0.0,2391700.0,45083000000.0,0.0,0.0,19.0,19.05,18.65
2021-03-03,11.95,20.2,1.25,5598100.0,106554000000.0,0.0,0.0,18.95,20.2,18.65
2021-03-04,11.6,19.6,-0.6,3571700.0,71049000000.0,0.0,0.0,20.3,20.3,19.35
2021-03-05,11.72,19.8,0.2,1846600.0,36012000000.0,0.0,0.0,19.65,19.8,19.25
2021-03-08,11.72,19.8,0.0,2667300.0,52653000000.0,0.0,0.0,19.85,19.9,19.5
2021-03-09,11.72,19.8,0.0,2822800.0,55311000000.0,0.0,0.0,19.6,19.8,19.5
2021-03-10,11.8,19.95,0.15,2986000.0,59025000000.0,0.0,0.0,19.8,19.95,19.6
2021-03-11,12.43,21.0,1.05,8762500.0,176814000000.0,0.0,0.0,20.0,21.0,19.9
2021-03-12,12.31,20.8,-0.2,4610100.0,95828000000.0,0.0,0.0,21.0,21.05,20.6
2021-03-15,12.72,21.5,0.7,11402000.0,241509000000.0,0.0,0.0,20.95,21.5,20.85
2021-03-16,12.96,21.9,0.4,6608200.0,141749000000.0,0.0,0.0,21.5,21.9,21.0
2021-03-17,13.14,22.2,0.4,11731200.0,260305000000.0,1020389.0,21020013400.0,21.8,22.6,21.7
2021-03-18,13.31,22.5,0.3,11309900.0,252829000000.0,0.0,0.0,22.2,22.5,21.0
2021-03-19,13.28,22.45,-0.05,6436100.0,142361000000.0,20000000.0,480000000000.0,22.3,22.45,21.8
2021-03-22,13.02,22.0,-0.45,5063200.0,111076000000.0,29100000.0,693360000000.0,22.35,22.35,21.6
2021-03-23,12.72,21.5,-0.5,6249400.0,134516000000.0,15640000.0,355028000000.0,21.9,21.9,21.25
2021-03-24,13.02,22.0,0.5,6169500.0,133505000000.0,0.0,0.0,21.5,22.5,21.2
2021-03-25,12.87,21.75,-0.25,5718400.0,124226000000.0,0.0,0.0,21.45,22.0,21.45
2021-03-26,12.87,21.75,0.0,4614500.0,98490000000.0,0.0,0.0,21.75,21.8,20.9
2021-03-29,12.81,21.65,-0.1,6127400.0,132176000000.0,0.0,0.0,21.6,21.7,21.3
2021-03-30,12.81,21.65,0.0,3757300.0,80837000000.0,0.0,0.0,21.65,21.7,21.3
2021-03-31,12.93,21.85,0.2,6208800.0,134384000000.0,0.0,0.0,21.65,22.05,21.3
2021-04-01,13.11,22.15,0.3,5410400.0,119282000000.0,0.0,0.0,21.85,22.15,21.85
2021-04-02,13.37,22.6,0.45,8235700.0,183163000000.0,0.0,0.0,22.3,22.6,21.8
2021-04-05,13.49,22.8,0.2,6408700.0,145303000000.0,0.0,0.0,22.65,22.8,22.5
2021-04-06,13.46,22.75,-0.05,6024100.0,136913000000.0,0.0,0.0,22.8,22.85,22.55
2021-04-07,13.43,22.7,-0.05,4460400.0,100519000000.0,0.0,0.0,22.7,22.7,22.4
2021-04-08,13.05,22.05,-0.65,4592700.0,102713000000.0,100000.0,2195000000.0,22.7,22.75,22.0
2021-04-09,13.05,22.05,0.0,6552600.0,143702000000.0,0.0,0.0,22.05,22.05,21.75
2021-04-12,13.79,23.3,1.25,10339600.0,230497000000.0,0.0,0.0,22.1,23.3,21.85
2021-04-13,13.46,22.75,-0.55,5651300.0,129451000000.0,0.0,0.0,23.3,23.3,22.5
2021-04-14,13.55,22.9,0.15,4611600.0,104079000000.0,0.0,0.0,22.6,22.9,22.3
2021-04-15,13.37,22.6,-0.3,4711500.0,105902000000.0,0.0,0.0,22.9,22.9,22.15
2021-04-16,13.11,22.15,-0.45,4800500.0,105978000000.0,0.0,0.0,22.25,22.55,21.7
2021-04-19,13.22,22.35,0.2,4472300.0,98542000000.0,0.0,0.0,22.15,22.35,21.8
2021-04-20,13.25,22.4,0.05,8192700.0,186117000000.0,0.0,0.0,22.75,23.0,21.95
