date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2021-01-28,14.68,18.35,0.0,7273800.0,137473000000.0,0.0,0.0,18.35,20.9,18.35
2021-01-29,15.68,19.6,1.25,6203000.0,121088000000.0,1053500.0,18014850000.0,19.6,19.6,18.6
2021-02-01,15.76,19.7,0.1,6397000.0,130535000000.0,0.0,0.0,20.8,20.8,19.6
2021-02-02,16.28,20.35,0.65,4126000.0,82779000000.0,0.0,0.0,20.0,20.35,19.6
2021-02-03,17.12,21.4,1.05,5828400.0,121983000000.0,170000.0,3221500000.0,20.6,21.4,20.4
2021-02-04,16.8,21.0,-0.4,4028300.0,85565000000.0,650607.0,14432109650.0,21.5,21.5,20.85
2021-02-05,16.68,20.85,-0.15,3432700.0,72102000000.0,145000.0,2879750000.0,21.1,21.4,20.85
2021-02-08,16.0,20.0,-0.85,3452100.0,70887000000.0,0.0,0.0,20.0,21.0,19.7
2021-02-09,16.72,20.9,0.9,2879100.0,59163000000.0,0.0,0.0,20.9,20.9,19.9
2021-02-17,16.88,21.1,0.2,2533500.0,53809000000.0,0.0,0.0,21.4,21.45,21.0
2021-02-18,16.8,21.0,-0.1,2655700.0,56053000000.0,151250.0,3030062500.0,21.2,21.25,21.0
2021-02-19,16.84,21.05,0.05,2430800.0,51207000000.0,30000.0,633000000.0,21.0,21.25,20.85
2021-02-22,17.08,21.35,0.3,5151400.0,110607000000.0,77900.0,1526840000.0,21.1,21.8,21.1
2021-02-23,17.16,21.45,0.1,2263100.0,48494000000.0,20000.0,399000000.0,21.4,21.55,21.25
2021-02-24,16.72,20.9,-0.55,3060000.0,64843000000.0,0.0,0.0,21.45,21.5,20.7
2021-02-25,16.72,20.9,0.0,2291600.0,47859000000.0,0.0,0.0,21.0,21.1,20.8
2021-02-26,16.72,20.9,0.0,2371800.0,48884000000.0,101025.0,2010397500.0,20.45,20.9,20.45
2021-03-01,17.04,21.3,0.4,3508600.0,74396000000.0,0.0,0.0,21.05,21.5,20.9
2021-03-02,16.88,21.1,-0.2,3241400.0,68910000000.0,0.0,0.0,21.45,21.45,21.0
2021-03-03,16.8,21.0,-0.1,2344300.0,49238000000.0,269025.0,5311597500.0,21.15,21.15,20.9
2021-03-04,16.52,20.65,-0.35,2509400.0,52402000000.0,12000000.0,239100000000.0,21.0,21.05,20.6
2021-03-05,16.92,21.15,0.5,3108500.0,64725000000.0,0.0,0.0,20.5,21.15,20.5
2021-03-08,17.16,21.45,0.3,4842400.0,103610000000.0,0.0,0.0,21.4,21.5,21.25
2021-03-09,18.36,22.95,1.5,15494500.0,341715000000.0,0.0,0.0,21.45,22.95,21.2
2021-03-10,19.32,24.15,1.2,8341400.0,199921000000.0,0.0,0.0,23.5,24.3,23.4
2021-03-11,19.44,24.3,0.15,6384900.0,153727000000.0,0.0,0.0,24.15,24.4,23.8
2021-03-12,19.76,24.7,0.4,7448700.0,180101000000.0,0.0,0.0,24.1,24.7,23.9
2021-03-15,19.84,24.8,0.1,6493900.0,161213000000.0,0.0,0.0,24.9,25.05,24.5
2021-03-16,19.76,24.7,-0.1,3542700.0,86860000000.0,0.0,0.0,24.75,24.75,24.2
2021-03-17,19.76,24.7,0.05,5211500.0,127969000000.0,0.0,0.0,24.65,24.7,24.25
2021-03-18,19.84,24.8,0.1,4715700.0,117888000000.0,0.0,0.0,25.0,25.25,24.7
2021-03-19,19.92,24.9,0.1,3745800.0,93180000000.0,0.0,0.0,24.85,25.1,24.7
2021-03-22,20.16,25.2,0.3,4116600.0,103857000000.0,0.0,0.0,25.0,25.4,24.9
2021-03-23,19.68,24.6,-0.6,4736400.0,117246000000.0,0.0,0.0,25.0,25.2,24.25
2021-03-24,19.08,23.85,-0.75,3882000.0,94102000000.0,0.0,0.0,24.2,24.6,23.75
2021-03-25,18.84,23.55,-0.3,3602200.0,85916000000.0,0.0,0.0,24.2,24.2,23.55
2021-03-26,18.84,23.55,0.0,6985600.0,162665000000.0,0.0,0.0,23.5,23.7,22.5
2021-03-29,19.16,23.95,0.4,3597100.0,85821000000.0,0.0,0.0,23.55,24.1,23.55
2021-03-30,19.28,24.1,0.15,3200900.0,76825000000.0,0.0,0.0,24.05,24.15,23.85
2021-03-31,19.32,24.15,0.05,2303700.0,55729000000.0,0.0,0.0,24.2,24.3,24.05
2021-04-01,19.6,24.5,0.35,4940400.0,120367000000.0,0.0,0.0,24.15,24.55,24.15
2021-04-02,19.76,24.7,0.2,3447300.0,85490000000.0,0.0,0.0,24.6,24.95,24.6
2021-04-05,19.68,24.6,-0.1,3062000.0,75641000000.0,0.0,0.0,24.9,25.0,24.45
2021-04-06,19.6,24.5,-0.1,3630600.0,89185000000.0,0.0,0.0,24.5,24.85,24.45
2021-04-07,19.64,24.55,0.05,2848300.0,69645000000.0,2000000.0,45600000000.0,24.5,24.65,24.3
2021-04-08,19.8,24.75,0.2,3409600.0,84431000000.0,0.0,0.0,25.0,25.0,24.5
2021-04-09,19.76,24.7,-0.05,2413600.0,59691000000.0,0.0,0.0,24.8,24.9,24.65
2021-04-12,19.8,24.75,0.05,4041300.0,99773000000.0,0.0,0.0,24.7,24.85,24.55
2021-04-13,20.04,25.05,0.3,9139600.0,230490000000.0,0.0,0.0,24.85,25.8,24.85
2021-04-14,20.28,25.35,0.3,3874400.0,98013000000.0,0.0,0.0,25.05,25.45,25.0
2021-04-15,19.92,24.9,-0.45,4195500.0,105764000000.0,0.0,0.0,25.5,25.65,24.9
2021-04-16,19.2,24.0,-0.9,5066100.0,122812000000.0,0.0,0.0,24.7,24.75,23.8
2021-04-19,19.44,24.3,0.3,3059800.0,73537000000.0,0.0,0.0,24.0,24.3,23.8
2021-04-20,18.96,23.7,-0.6,5138300.0,122772000000.0,0.0,0.0,24.2,24.3,23.6
2021-04-22,17.64,22.05,-1.65,3721500.0,85962000000.0,0.0,0.0,23.55,23.6,22.05
2021-04-23,18.4,23.0,0.95,3546200.0,80076000000.0,0.0,0.0,22.2,23.0,22.1
2021-04-26,18.0,22.5,-0.5,1941000.0,44042000000.0,257000.0,5744000000.0,23.0,23.0,22.5
2021-04-27,18.24,22.8,0.3,1635700.0,36901000000.0,100000.0,2095000000.0,22.6,22.95,22.3
2021-04-28,18.68,23.35,0.55,2861500.0,66762000000.0,0.0,0.0,22.8,23.75,22.7
2021-04-29,18.8,23.5,0.15,2112700.0,49846000000.0,50000.0,1175000000.0,23.75,23.75,23.45
2021-05-04,18.6,23.25,-0.25,2745200.0,63475000000.0,307000.0,6723300000.0,22.9,23.45,22.75
2021-05-05,19.08,23.85,0.6,3138700.0,74624000000.0,93000.0,2013450000.0,23.3,24.15,23.3
2021-05-06,18.92,23.65,-0.2,2905700.0,69122000000.0,0.0,0.0,23.9,24.05,23.6
2021-05-07,18.72,23.4,-0.25,4145900.0,97308000000.0,357000.0,7936500000.0,23.5,23.9,23.2
2021-05-10,19.32,24.15,0.75,5194900.0,124063000000.0,93000.0,2027400000.0,23.4,24.3,23.05
2021-05-11,19.12,23.9,-0.25,3290000.0,79616000000.0,20000.0,450000000.0,24.35,24.4,23.9
2021-05-12,19.28,24.1,0.2,2419400.0,57808000000.0,307000.0,6830750000.0,23.85,24.1,23.75
2021-05-13,19.2,24.0,-0.1,3822000.0,92072000000.0,143000.0,3270350000.0,24.0,24.35,23.9
2021-05-14,19.32,24.15,0.15,3001800.0,72426000000.0,0.0,0.0,24.0,24.3,24.0
2021-05-17,19.84,24.8,0.65,5978700.0,147377000000.0,207000.0,4657500000.0,24.15,25.0,24.15
