date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2021-03-24,13.59,20.15,0.0,6007500.0,121051000000.0,0.0,0.0,20.15,20.15,20.15
2021-03-25,14.53,21.55,1.4,1464100.0,31551000000.0,135335.0,2537531250.0,21.55,21.55,21.55
2021-03-26,15.54,23.05,1.5,1078500.0,24859000000.0,0.0,0.0,23.05,23.05,23.05
2021-03-29,16.62,24.65,1.6,3992200.0,98263000000.0,250000.0,6162500000.0,24.65,24.65,24.0
2021-03-30,17.77,26.35,1.7,1896300.0,49963000000.0,220000.0,5729000000.0,26.35,26.35,26.25
2021-03-31,18.98,28.15,1.8,4138700.0,115776000000.0,0.0,0.0,28.15,28.15,27.2
2021-04-01,19.02,28.2,0.05,3793500.0,105722000000.0,0.0,0.0,28.1,28.2,27.1
2021-04-02,19.05,28.25,0.05,2990700.0,84029000000.0,0.0,0.0,27.7,28.25,27.7
2021-04-05,18.95,28.1,-0.15,1564100.0,43641000000.0,0.0,0.0,28.05,28.15,27.4
2021-04-06,18.88,28.0,-0.1,1881700.0,52233000000.0,0.0,0.0,28.0,28.0,27.3
2021-04-07,18.88,28.0,0.0,1208100.0,33665000000.0,0.0,0.0,28.0,28.0,27.5
2021-04-08,18.61,27.6,-0.4,911300.0,25234000000.0,0.0,0.0,27.8,27.8,27.5
2021-04-09,18.68,27.7,0.1,955900.0,26269000000.0,0.0,0.0,27.0,27.7,27.0
2021-04-12,18.68,27.7,0.0,846900.0,23099000000.0,0.0,0.0,27.3,27.7,27.0
2021-04-13,18.41,27.3,-0.4,433600.0,11819000000.0,0.0,0.0,27.1,27.5,27.1
2021-04-14,18.07,26.8,-0.5,579800.0,15651000000.0,0.0,0.0,27.0,27.25,26.8
2021-04-15,18.21,27.0,0.2,1409400.0,37140000000.0,0.0,0.0,26.4,27.0,25.5
2021-04-16,18.41,27.3,0.3,574400.0,15416000000.0,0.0,0.0,27.0,27.3,26.5
2021-04-19,18.55,27.5,0.2,886900.0,24252000000.0,0.0,0.0,27.35,27.5,27.1
2021-04-20,18.55,27.5,0.0,1465400.0,40323000000.0,0.0,0.0,27.6,27.6,27.4
2021-04-22,18.55,27.5,0.0,729000.0,19830000000.0,0.0,0.0,27.3,27.5,26.8
2021-04-23,17.6,26.1,-1.4,853900.0,22973000000.0,0.0,0.0,27.5,27.5,26.1
2021-04-26,18.07,26.8,0.7,578000.0,15416000000.0,0.0,0.0,27.0,27.2,26.35
2021-04-27,18.14,26.9,0.1,705300.0,18612000000.0,0.0,0.0,25.1,26.9,25.1
2021-04-28,18.07,26.8,-0.1,846500.0,22507000000.0,0.0,0.0,26.8,26.95,26.0
2021-04-29,18.11,26.85,0.05,1199900.0,32108000000.0,0.0,0.0,26.1,26.95,26.1
2021-05-04,17.8,26.4,-0.45,1055500.0,27824000000.0,70728.0,1768200000.0,26.05,26.5,26.05
2021-05-05,17.84,26.45,0.05,647500.0,17095000000.0,0.0,0.0,26.4,26.5,26.1
2021-05-06,18.44,27.35,0.9,1078900.0,28839000000.0,0.0,0.0,26.45,28.3,26.3
2021-05-07,18.55,27.5,0.15,1122000.0,30730000000.0,0.0,0.0,27.5,27.7,27.0
2021-05-10,18.88,28.0,0.5,1638300.0,44977000000.0,0.0,0.0,27.5,28.0,27.0
2021-05-11,18.88,28.0,0.0,942400.0,26328000000.0,0.0,0.0,28.3,28.3,27.7
2021-05-12,18.88,28.0,0.0,1429600.0,39891000000.0,0.0,0.0,28.0,28.0,27.7
2021-05-13,19.09,28.3,0.3,2069300.0,58003000000.0,0.0,0.0,28.0,28.5,27.1
2021-05-14,20.4,30.25,1.95,3100400.0,89620000000.0,0.0,0.0,28.5,30.25,27.5
2021-05-17,21.21,31.45,1.2,3145000.0,99313000000.0,0.0,0.0,30.3,32.0,30.3
2021-05-18,21.24,31.5,0.05,3096400.0,97767000000.0,0.0,0.0,32.1,32.1,31.4
2021-05-19,21.41,31.75,0.25,3510600.0,109144000000.0,0.0,0.0,31.5,31.95,29.5
2021-05-20,21.41,31.75,0.0,4030600.0,125569000000.0,0.0,0.0,31.95,31.95,29.6
2021-05-21,21.58,32.0,0.25,4272700.0,135283000000.0,0.0,0.0,31.75,32.0,30.35
2021-05-24,21.99,32.6,0.6,2716700.0,86584000000.0,0.0,0.0,32.0,32.6,30.5
2021-05-25,23.5,34.85,2.25,3725900.0,119913000000.0,0.0,0.0,32.95,34.85,30.5
2021-05-26,25.09,37.2,2.35,2720400.0,95000000000.0,0.0,0.0,34.9,37.2,33.5
2021-05-27,24.99,37.05,-0.15,2077400.0,75120000000.0,0.0,0.0,37.3,37.35,35.05
2021-05-28,26.3,39.0,1.95,2006200.0,74115000000.0,0.0,0.0,37.0,39.0,35.5
2021-05-31,27.52,40.8,1.8,1832500.0,71689000000.0,0.0,0.0,39.0,40.8,38.0
2021-06-01,27.58,40.9,0.1,1733600.0,70024000000.0,0.0,0.0,40.85,41.9,39.0
2021-06-02,27.99,41.5,0.6,1816900.0,73040000000.0,0.0,0.0,40.7,41.5,38.9
2021-06-03,29.0,43.0,1.5,2794400.0,114610000000.0,0.0,0.0,41.6,43.0,39.05
2021-06-04,30.69,45.5,2.5,4445100.0,186071000000.0,0.0,0.0,43.4,45.5,40.1
2021-06-07,29.34,43.5,-2.0,1594600.0,68555000000.0,0.0,0.0,45.5,45.5,42.4
2021-06-08,29.0,43.0,-0.5,2450000.0,101927000000.0,0.0,0.0,41.5,43.0,40.6
2021-06-09,27.11,40.2,-2.8,2641700.0,109456000000.0,0.0,0.0,40.5,43.2,40.15
2021-06-10,27.85,41.3,1.1,3337900.0,133047000000.0,0.0,0.0,40.7,42.6,37.5
2021-06-11,28.93,42.9,1.6,2589300.0,108464000000.0,0.0,0.0,41.3,42.9,39.5
2021-06-14,29.0,43.0,0.1,2782100.0,116618000000.0,0.0,0.0,42.9,43.0,41.0
2021-06-15,27.85,41.3,-1.7,2466800.0,102340000000.0,0.0,0.0,42.9,42.95,40.1
2021-06-16,26.84,39.8,-1.5,1489700.0,58743000000.0,0.0,0.0,41.3,41.3,38.6
2021-06-17,26.77,39.7,-0.1,1823600.0,70014000000.0,0.0,0.0,39.6,39.8,37.4
2021-06-18,27.21,40.35,0.65,2734900.0,105854000000.0,0.0,0.0,38.0,40.45,37.0
2021-06-21,26.98,40.0,-0.35,2216300.0,87604000000.0,0.0,0.0,40.35,40.35,39.0
2021-06-22,27.01,40.05,0.05,2389900.0,94773000000.0,0.0,0.0,40.0,40.1,38.9
2021-06-23,26.77,39.7,-0.35,2069900.0,81771000000.0,0.0,0.0,39.95,39.95,39.05
2021-06-24,26.81,39.75,0.05,2276400.0,90336000000.0,0.0,0.0,39.7,39.85,39.0
2021-06-25,27.04,40.1,0.35,2106000.0,83514000000.0,0.0,0.0,39.8,40.1,39.0
2021-06-28,27.52,40.8,0.7,2093400.0,82980000000.0,0.0,0.0,39.1,41.0,38.5
2021-06-29,27.62,40.95,0.15,2099600.0,85907000000.0,0.0,0.0,40.8,41.0,40.7
2021-06-30,27.75,41.15,0.2,2195300.0,89915000000.0,0.0,0.0,40.95,41.35,39.5
2021-07-01,27.55,40.85,-0.3,2349400.0,94843000000.0,0.0,0.0,41.15,41.2,39.3
2021-07-02,28.59,42.4,1.55,3294900.0,135509000000.0,0.0,0.0,40.9,42.4,39.95
2021-07-05,28.46,42.2,-0.2,2506700.0,104313000000.0,0.0,0.0,42.4,42.4,41.0
2021-07-06,28.12,41.7,-0.5,3177800.0,132099000000.0,0.0,0.0,42.2,42.35,40.3
2021-07-07,28.26,41.9,0.2,3388500.0,138540000000.0,0.0,0.0,41.15,42.0,40.0
2021-07-08,27.99,41.5,-0.4,2656800.0,110167000000.0,0.0,0.0,41.8,41.8,40.5
2021-07-09,27.38,40.6,-0.9,2824800.0,115564000000.0,0.0,0.0,41.3,41.6,40.0
2021-07-12,25.63,38.0,-2.6,1625200.0,62533000000.0,0.0,0.0,40.3,40.3,37.8
2021-07-13,26.03,38.6,0.6,1732300.0,65306000000.0,0.0,0.0,37.5,38.6,36.3
2021-07-14,25.76,38.2,-0.4,1798000.0,68285000000.0,0.0,0.0,38.5,38.5,37.1
2021-07-15,27.18,40.3,2.1,1725100.0,65908000000.0,0.0,0.0,38.0,40.4,37.5
2021-07-16,26.61,39.45,-0.85,1963600.0,78049000000.0,0.0,0.0,40.3,41.0,38.95
2021-07-19,24.95,37.0,-2.45,1590100.0,60524000000.0,0.0,0.0,38.9,38.9,37.0
2021-07-20,26.34,39.05,2.05,1740500.0,63837000000.0,0.0,0.0,37.0,39.3,35.0
2021-07-21,26.3,39.0,-0.05,1753900.0,68132000000.0,0.0,0.0,39.05,39.2,38.2
2021-07-22,27.65,41.0,2.0,2105800.0,83190000000.0,0.0,0.0,38.9,41.0,38.2
2021-07-23,27.63,37.55,-3.45,1460500.0,55494000000.0,0.0,0.0,39.0,39.0,37.3
2021-07-26,26.79,36.4,-1.15,1212300.0,44234000000.0,0.0,0.0,37.45,37.45,35.5
2021-07-27,27.38,37.2,0.8,1412500.0,50882000000.0,0.0,0.0,36.45,37.2,35.0
2021-07-28,27.19,36.95,-0.25,1308300.0,47990000000.0,0.0,0.0,37.0,37.15,36.0
2021-07-29,27.23,37.0,0.05,1488300.0,54521000000.0,0.0,0.0,36.9,37.05,36.0
2021-07-30,26.93,36.6,-0.4,2351600.0,86178000000.0,0.0,0.0,36.95,37.2,36.0
2021-08-02,26.79,36.4,-0.2,1895300.0,67891000000.0,0.0,0.0,36.0,36.6,35.0
2021-08-03,26.97,36.65,0.25,1485000.0,53819000000.0,0.0,0.0,36.2,36.65,35.8
