date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,16.9,16.9,0.1,14969830.0,252733000000.0,0.0,0.0,17.0,17.0,16.75
2021-01-04,17.55,17.55,0.65,46809600.0,805829000000.0,0.0,0.0,17.05,17.7,16.9
2021-01-05,17.7,17.7,0.15,23399500.0,416256000000.0,0.0,0.0,17.55,17.95,17.45
2021-01-06,18.0,18.0,0.3,31193600.0,561624000000.0,1360000.0,22590000000.0,17.9,18.35,17.7
2021-01-07,18.45,18.45,0.45,39683500.0,719161000000.0,1220200.0,21901100000.0,18.05,18.45,17.85
2021-01-08,19.4,19.4,0.95,34889200.0,663565000000.0,1200000.0,22615000000.0,18.8,19.5,18.65
2021-01-11,20.1,20.1,0.7,33493100.0,672196000000.0,200000.0,3610000000.0,20.0,20.4,19.8
2021-01-12,19.8,19.8,-0.3,27236800.0,538221000000.0,0.0,0.0,19.9,20.05,19.5
2021-01-13,19.5,19.5,-0.3,26650000.0,527272000000.0,9244640.0,170698608000.0,19.8,20.05,19.4
2021-01-14,20.1,20.1,0.6,27462300.0,536140000000.0,53000.0,1105050000.0,19.65,20.25,19.0
2021-01-15,21.1,21.1,1.0,51692600.0,1096692000000.0,50000.0,1000000000.0,20.5,21.5,20.5
2021-01-18,20.6,20.6,-0.5,59659200.0,1249302000000.0,950000.0,19950000000.0,21.7,21.7,20.25
2021-01-19,19.2,19.2,-1.4,45045700.0,892645000000.0,53000.0,1105050000.0,20.35,20.45,19.2
2021-01-20,19.0,19.0,-0.2,34426700.0,645392000000.0,20000.0,402000000.0,19.4,19.6,17.95
2021-01-21,20.0,20.0,1.0,34477100.0,671652000000.0,697000.0,13821600000.0,19.4,20.0,18.85
2021-01-22,19.95,19.95,-0.05,29967400.0,598367000000.0,320000.0,6008000000.0,20.0,20.2,19.7
2021-01-25,19.35,19.35,-0.6,28071700.0,550536000000.0,70000.0,1393000000.0,19.7,19.9,19.35
2021-01-26,18.1,18.1,-1.25,32302200.0,601095000000.0,232000.0,4477200000.0,19.3,19.3,18.05
2021-01-27,17.25,17.25,-0.85,32158500.0,575156000000.0,170000.0,3102000000.0,17.8,18.65,17.0
2021-01-28,16.05,16.05,-1.2,45050900.0,734543000000.0,30000.0,481500000.0,16.15,16.95,16.05
2021-01-29,16.9,16.9,0.85,31230400.0,518835000000.0,2005000.0,34379750000.0,15.5,17.15,15.5
2021-02-01,16.1,16.1,-0.8,23123900.0,388539000000.0,113100.0,1858910000.0,17.0,17.45,16.1
2021-02-02,17.15,17.15,1.05,20756400.0,346137000000.0,412500.0,6996950000.0,16.4,17.2,16.0
2021-02-03,18.0,18.0,0.85,27109800.0,477829000000.0,3500620.0,60035633000.0,17.35,18.2,17.15
2021-02-04,17.6,17.6,-0.4,18651000.0,331996000000.0,0.0,0.0,17.9,18.15,17.55
