date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,31.5,31.5,1.6,16486510.0,504946000000.0,0.0,0.0,29.95,31.75,29.9
2021-01-04,33.0,33.0,1.5,18607800.0,613947000000.0,1082120.0,35598044000.0,32.0,33.4,31.9
2021-01-05,33.05,33.05,0.05,14280100.0,471763000000.0,3342600.0,111978780000.0,32.75,33.35,32.55
2021-01-06,33.2,33.2,0.15,20222300.0,676761000000.0,2454000.0,81279500000.0,33.2,34.1,32.95
2021-01-07,34.6,34.6,1.4,16387200.0,557933000000.0,1691300.0,56438660000.0,33.75,34.6,33.4
2021-01-08,35.7,35.7,1.1,16947900.0,605117000000.0,1972000.0,68118400000.0,35.0,36.25,34.9
2021-01-11,35.25,35.25,-0.45,13980300.0,499480000000.0,2049200.0,74051880000.0,35.75,36.25,35.2
2021-01-12,35.1,35.1,-0.15,16418200.0,572491000000.0,482060.0,17107912000.0,35.0,35.5,34.5
2021-01-13,35.15,35.15,0.05,11399600.0,405687000000.0,5582800.0,195956280000.0,35.45,36.0,35.1
2021-01-14,35.75,35.75,0.6,11995200.0,425018000000.0,210000.0,6873000000.0,35.35,35.8,34.85
2021-01-15,36.85,36.85,1.1,17357400.0,640321000000.0,2039810.0,69522732500.0,36.3,37.55,36.25
2021-01-18,36.2,36.2,-0.65,13377400.0,491332000000.0,380600.0,14877760000.0,37.2,37.2,35.9
2021-01-19,33.9,33.9,-2.3,22796500.0,791647000000.0,223000.0,7690100000.0,35.9,36.4,33.7
2021-01-20,34.5,34.5,0.6,25772300.0,867539000000.0,2403400.0,78793250000.0,34.2,34.75,32.0
2021-01-21,36.2,36.2,1.7,14253300.0,506375000000.0,6518900.0,225715410000.0,35.25,36.2,34.5
2021-01-22,36.3,36.3,0.1,12347400.0,448580000000.0,2000000.0,67400000000.0,36.45,36.9,35.8
2021-01-25,35.8,35.8,-0.5,15639600.0,562633000000.0,0.0,0.0,35.75,36.35,35.6
2021-01-26,35.0,35.0,-0.8,18111400.0,632573000000.0,110000.0,4213000000.0,35.5,35.8,33.5
2021-01-27,33.5,33.5,-1.5,18775400.0,633781000000.0,0.0,0.0,34.25,35.25,32.65
2021-01-28,31.2,31.2,-2.3,27121100.0,861177000000.0,2975440.0,95453772000.0,31.5,33.0,31.2
2021-01-29,32.0,32.0,0.8,27420900.0,869723000000.0,0.0,0.0,29.6,33.35,29.6
2021-02-01,32.2,32.2,0.2,15146700.0,492746000000.0,132700.0,4272940000.0,32.0,33.5,31.55
2021-02-02,34.0,34.0,1.8,13498900.0,447576000000.0,798500.0,26703335000.0,32.2,34.1,31.95
2021-02-03,35.0,35.0,1.0,18238700.0,632906000000.0,118200.0,4155100000.0,34.5,35.5,34.0
2021-02-04,35.0,35.0,0.0,14141400.0,497530000000.0,200000.0,7430000000.0,35.0,35.6,34.6
2021-02-05,36.3,36.3,1.3,14358200.0,514332000000.0,602650.0,21461597500.0,35.3,36.3,35.1
2021-02-08,35.0,35.0,-1.3,21272800.0,751769000000.0,0.0,0.0,35.0,36.5,34.0
2021-02-09,36.0,36.0,1.0,16738000.0,596428000000.0,26000.0,846300000.0,36.0,36.4,34.7
2021-02-17,38.4,38.4,2.4,21134000.0,796880000000.0,20000.0,770000000.0,36.9,38.4,36.5
2021-02-18,38.9,38.9,0.5,15791300.0,609705000000.0,1083300.0,44239465000.0,38.5,39.2,38.0
2021-02-19,38.7,38.7,-0.2,12801300.0,494488000000.0,1050000.0,43680000000.0,38.2,39.1,38.2
2021-02-22,38.6,38.6,-0.1,14466800.0,557980000000.0,276800.0,11459520000.0,38.65,38.85,38.0
2021-02-23,39.8,39.8,1.2,26384200.0,1046729000000.0,287500.0,11500000000.0,38.8,40.35,38.8
2021-02-24,39.1,39.1,-0.7,14395400.0,566824000000.0,678900.0,27223890000.0,40.2,40.2,38.9
2021-02-25,39.1,39.1,0.0,16440500.0,641907000000.0,275000.0,11495000000.0,39.5,39.5,38.5
2021-02-26,39.25,39.25,0.15,15265000.0,592568000000.0,532770.0,21752286000.0,38.3,39.35,38.3
2021-03-01,40.2,40.2,0.95,12622200.0,502472000000.0,8990000.0,375606000000.0,39.7,40.25,39.3
2021-03-02,40.3,40.3,0.1,8576800.0,346234000000.0,1652500.0,68916900000.0,40.7,40.75,40.0
2021-03-03,40.35,40.35,0.05,8441900.0,339709000000.0,674400.0,27725820000.0,40.35,40.5,40.0
2021-03-04,39.05,39.05,-1.3,16228300.0,640620000000.0,1600900.0,66077235000.0,40.4,40.5,38.6
2021-03-05,39.2,39.2,0.15,11169600.0,433238000000.0,2752600.0,111674030000.0,38.9,39.35,38.3
2021-03-08,38.85,38.85,-0.35,10807100.0,422097000000.0,425000.0,15701500000.0,39.5,39.7,38.5
2021-03-09,38.95,38.95,0.1,10594100.0,409322000000.0,2801170.0,112215613500.0,38.6,39.3,38.2
