date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,19.85,26.8,0.25,1784030.0,47612000000.0,915000.0,24293250000.0,26.8,26.95,26.35
2021-01-04,20.59,27.8,1.0,3721100.0,103107000000.0,0.0,0.0,27.65,27.9,27.2
2021-01-05,20.55,27.75,-0.05,2719500.0,76152000000.0,0.0,0.0,27.9,28.2,27.6
2021-01-06,20.74,28.0,0.25,3750900.0,105179000000.0,7220000.0,200355000000.0,27.95,28.7,27.6
2021-01-07,21.0,28.35,0.35,3874900.0,108965000000.0,0.0,0.0,28.0,28.7,27.8
2021-01-08,21.11,28.5,0.15,4106300.0,117173000000.0,857775.0,22645260000.0,28.5,28.75,28.1
2021-01-11,20.89,28.2,-0.3,3098700.0,87772000000.0,0.0,0.0,28.5,28.75,28.0
2021-01-12,20.74,28.0,-0.2,2537300.0,70979000000.0,0.0,0.0,28.35,28.35,27.3
2021-01-13,20.44,27.6,-0.4,4604600.0,128160000000.0,1239330.0,34701240000.0,28.0,28.2,27.55
2021-01-14,20.48,27.65,0.05,2198600.0,60463000000.0,0.0,0.0,27.6,27.8,27.25
2021-01-15,21.26,28.7,1.05,8547500.0,243919000000.0,0.0,0.0,28.0,29.4,27.9
2021-01-18,21.33,28.8,0.1,4421500.0,128920000000.0,0.0,0.0,29.5,29.5,28.7
2021-01-19,20.7,27.95,-0.85,4912800.0,139899000000.0,0.0,0.0,29.0,29.25,26.8
2021-01-20,20.67,27.9,-0.05,3656500.0,99313000000.0,0.0,0.0,28.0,28.3,26.0
2021-01-21,21.11,28.5,0.6,3197000.0,89956000000.0,0.0,0.0,28.0,28.9,27.6
2021-01-22,20.52,27.7,-0.8,2745500.0,77076000000.0,0.0,0.0,28.3,28.5,27.65
2021-01-25,20.22,27.3,-0.4,1988200.0,54471000000.0,25042.0,646083600.0,27.7,27.75,27.2
2021-01-26,19.78,26.7,-0.6,2712200.0,72411000000.0,1848000.0,50450400000.0,27.2,27.3,26.0
2021-01-27,18.59,25.1,-1.6,2839900.0,72848000000.0,0.0,0.0,26.0,26.6,24.9
2021-01-28,17.3,23.35,-1.75,4594000.0,107782000000.0,20000.0,537000000.0,23.35,24.3,23.35
2021-01-29,18.48,24.95,1.6,3775400.0,90378000000.0,0.0,0.0,22.0,24.95,22.0
2021-02-01,18.04,24.35,-0.6,1379600.0,34746000000.0,1794000.0,46516350000.0,25.4,25.95,23.95
2021-02-02,18.74,25.3,0.95,1646100.0,40763000000.0,0.0,0.0,24.35,25.5,24.0
2021-02-03,19.85,26.8,1.5,1899400.0,49818000000.0,2565390.0,64058684500.0,25.8,27.05,25.6
2021-02-04,19.63,26.5,-0.3,1119000.0,29656000000.0,0.0,0.0,26.9,26.9,25.5
2021-02-05,19.78,26.7,0.2,1117600.0,29691000000.0,8048000.0,213272000000.0,26.2,27.15,26.2
2021-02-08,19.41,26.2,-0.5,2133900.0,55462000000.0,0.0,0.0,26.2,26.9,25.0
2021-02-09,19.89,26.85,0.65,1529600.0,40726000000.0,0.0,0.0,26.85,27.0,25.9
2021-02-17,20.52,27.7,0.85,1709300.0,46774000000.0,0.0,0.0,27.0,27.7,26.9
2021-02-18,20.63,27.85,0.15,1481100.0,41010000000.0,0.0,0.0,27.8,27.85,27.4
2021-02-19,20.52,27.7,-0.15,1768000.0,48979000000.0,0.0,0.0,27.7,27.9,27.5
2021-02-22,20.67,27.9,0.2,3988300.0,112225000000.0,0.0,0.0,27.95,28.6,27.75
2021-02-23,20.7,27.95,0.05,2963500.0,82789000000.0,0.0,0.0,28.05,28.1,27.6
2021-02-24,20.3,27.4,-0.55,1909800.0,52990000000.0,0.0,0.0,28.0,28.1,26.8
2021-02-25,20.26,27.35,-0.05,1739500.0,47470000000.0,0.0,0.0,27.5,27.5,27.0
2021-02-26,20.41,27.55,0.2,1406800.0,38397000000.0,0.0,0.0,27.0,27.7,26.9
2021-03-01,20.74,28.0,0.45,3672800.0,103006000000.0,0.0,0.0,28.0,28.2,27.8
2021-03-02,22.04,29.75,1.75,17188900.0,493387000000.0,323353.0,8511680650.0,28.5,29.95,28.15
2021-03-03,22.04,29.75,0.0,5889600.0,177820000000.0,0.0,0.0,29.9,31.0,29.7
2021-03-04,21.22,28.65,-1.1,4032100.0,117880000000.0,0.0,0.0,29.8,29.9,28.5
2021-03-05,21.11,28.5,-0.15,6168400.0,173930000000.0,0.0,0.0,28.2,29.0,27.7
2021-03-08,21.11,28.5,0.0,4699200.0,134717000000.0,20000.0,531000000.0,28.8,29.2,28.4
2021-03-09,21.04,28.4,-0.1,3367100.0,94873000000.0,0.0,0.0,28.2,28.8,27.8
2021-03-10,21.07,28.45,0.05,2567700.0,72893000000.0,0.0,0.0,28.45,28.65,28.0
2021-03-11,21.18,28.6,0.15,5008800.0,143790000000.0,0.0,0.0,28.75,28.85,28.5
2021-03-12,21.18,28.6,0.0,5823500.0,167700000000.0,0.0,0.0,28.65,29.15,28.55
2021-03-15,21.26,28.7,0.1,4597200.0,132283000000.0,0.0,0.0,28.7,29.0,28.65
2021-03-16,21.11,28.5,-0.2,3011500.0,85981000000.0,0.0,0.0,28.8,28.9,28.2
2021-03-17,21.26,28.7,0.3,3656000.0,104597000000.0,0.0,0.0,28.4,28.8,28.25
2021-03-18,21.48,29.0,0.3,5781900.0,167691000000.0,0.0,0.0,29.0,29.2,28.7
2021-03-19,21.41,28.9,-0.1,6947000.0,201182000000.0,0.0,0.0,29.0,29.25,28.65
2021-03-22,21.33,28.8,-0.1,3471700.0,100299000000.0,0.0,0.0,28.9,29.2,28.7
2021-03-23,20.96,28.3,-0.5,4377900.0,124730000000.0,0.0,0.0,28.7,28.9,28.0
2021-03-24,19.96,26.95,-1.35,6669100.0,183891000000.0,0.0,0.0,27.8,28.2,26.9
2021-03-25,19.92,26.9,-0.05,5221400.0,141132000000.0,0.0,0.0,27.2,27.45,26.75
2021-03-26,19.78,26.7,-0.2,5041800.0,132924000000.0,0.0,0.0,26.75,26.9,25.7
2021-03-29,20.3,27.4,0.7,2164500.0,58537000000.0,11290000.0,301443000000.0,27.1,27.4,26.85
2021-03-30,20.59,27.8,0.4,2611900.0,72071000000.0,0.0,0.0,27.5,27.8,27.4
2021-03-31,20.63,27.85,0.05,2172200.0,60591000000.0,0.0,0.0,27.8,28.05,27.65
2021-04-01,20.74,28.0,0.15,4129700.0,115624000000.0,0.0,0.0,27.85,28.15,27.75
2021-04-02,20.96,28.3,0.3,3197300.0,91248000000.0,3580000.0,100240000000.0,28.5,28.8,28.2
2021-04-05,21.04,28.4,0.1,3468800.0,98809000000.0,0.0,0.0,28.65,28.7,28.25
2021-04-06,20.85,28.15,-0.25,5698500.0,160592000000.0,0.0,0.0,28.35,28.4,28.0
2021-04-07,21.33,28.8,0.65,8769900.0,251836000000.0,0.0,0.0,28.15,29.2,28.1
2021-04-08,21.41,28.9,0.1,4230200.0,122629000000.0,0.0,0.0,29.0,29.15,28.7
2021-04-09,21.33,28.8,-0.1,2837100.0,81684000000.0,0.0,0.0,28.95,29.0,28.6
