date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,39.12,41.4,0.85,1336680.0,55568000000.0,0.0,0.0,40.9,41.95,40.6
2021-01-04,39.68,42.0,0.6,1936900.0,81348000000.0,0.0,0.0,42.0,42.25,41.65
2021-01-05,39.64,41.95,-0.05,1172300.0,49172000000.0,0.0,0.0,41.6,42.25,41.6
2021-01-06,38.83,41.1,-0.85,3356600.0,138702000000.0,320000.0,13168000000.0,41.95,42.05,41.0
2021-01-07,39.31,41.6,0.5,1664800.0,68632000000.0,0.0,0.0,41.2,42.0,40.6
2021-01-08,39.5,41.8,0.2,1428500.0,60084000000.0,0.0,0.0,41.8,42.45,41.6
2021-01-11,40.91,43.3,1.5,2692000.0,113884000000.0,0.0,0.0,42.0,43.5,41.45
2021-01-12,41.2,43.6,0.3,1666000.0,72046000000.0,0.0,0.0,43.4,43.95,42.5
2021-01-13,40.68,43.05,-0.55,1598000.0,69374000000.0,0.0,0.0,43.6,43.75,43.0
2021-01-14,40.11,42.45,-0.6,1597700.0,67892000000.0,0.0,0.0,43.0,43.05,42.2
2021-01-15,39.78,42.1,-0.35,1737700.0,73778000000.0,0.0,0.0,42.55,43.0,42.0
2021-01-18,40.96,43.35,1.25,2054600.0,88425000000.0,0.0,0.0,42.5,43.4,42.2
2021-01-19,39.68,42.0,-1.35,2415600.0,104004000000.0,0.0,0.0,43.5,44.6,40.35
2021-01-20,39.12,41.4,-0.6,1183200.0,48745000000.0,0.0,0.0,42.2,42.5,40.0
2021-01-21,39.21,41.5,0.1,1411200.0,58306000000.0,0.0,0.0,41.4,41.9,40.8
2021-01-22,39.4,41.7,0.2,2410100.0,100667000000.0,150000.0,6300000000.0,41.5,42.9,41.0
2021-01-25,40.16,42.5,0.8,2185700.0,92876000000.0,0.0,0.0,41.7,43.3,41.5
2021-01-26,38.93,41.2,-1.3,1034200.0,43214000000.0,0.0,0.0,42.5,42.55,41.05
2021-01-27,38.46,40.7,-0.5,1288600.0,53396000000.0,0.0,0.0,41.25,42.25,40.5
2021-01-28,35.81,37.9,-2.8,1719600.0,65407000000.0,0.0,0.0,38.1,39.0,37.9
2021-01-29,35.91,38.0,0.1,1215100.0,45492000000.0,0.0,0.0,35.3,39.3,35.3
2021-02-01,33.45,35.4,-2.6,1374600.0,50558000000.0,0.0,0.0,38.0,38.3,35.35
2021-02-02,33.35,35.3,-0.1,1174100.0,41280000000.0,0.0,0.0,36.0,36.0,34.65
2021-02-03,35.15,37.2,1.9,1142600.0,41851000000.0,0.0,0.0,36.0,37.75,35.8
2021-02-04,34.96,37.0,-0.2,723100.0,26949000000.0,0.0,0.0,37.5,37.8,36.95
2021-02-05,35.06,37.1,0.1,661600.0,24544000000.0,300000.0,11130000000.0,37.0,37.5,36.9
2021-02-08,34.16,36.15,-0.95,1030900.0,37728000000.0,0.0,0.0,36.15,37.2,34.55
2021-02-09,34.63,36.65,0.5,620500.0,22586000000.0,0.0,0.0,36.65,36.9,35.85
2021-02-17,36.28,38.4,1.75,828400.0,31206000000.0,0.0,0.0,37.0,38.5,37.0
2021-02-18,37.32,39.5,1.1,1065400.0,41604000000.0,0.0,0.0,38.8,40.15,38.3
2021-02-19,38.08,40.3,0.8,846700.0,34091000000.0,0.0,0.0,39.2,40.95,39.0
2021-02-22,37.37,39.55,-0.75,1023000.0,40851000000.0,0.0,0.0,40.25,40.4,39.4
2021-02-23,36.85,39.0,-0.55,880200.0,34415000000.0,0.0,0.0,39.2,39.5,38.9
2021-02-24,37.75,39.95,0.95,1006100.0,39573000000.0,215000.0,7804500000.0,39.0,40.0,38.8
2021-02-25,37.7,39.9,-0.05,872400.0,34999000000.0,0.0,0.0,40.3,41.0,39.1
2021-02-26,37.61,39.8,-0.1,540300.0,21321000000.0,0.0,0.0,39.05,40.0,39.05
2021-03-01,37.94,40.15,0.35,1357000.0,54278000000.0,0.0,0.0,40.0,40.45,39.0
2021-03-02,38.6,40.85,0.7,1549600.0,62780000000.0,0.0,0.0,40.6,41.2,40.1
2021-03-03,39.68,42.0,1.15,2105600.0,87507000000.0,0.0,0.0,41.2,42.0,40.9
2021-03-04,39.59,41.9,-0.1,2492300.0,106302000000.0,0.0,0.0,42.0,43.6,41.6
2021-03-05,40.35,42.7,0.8,2153100.0,91639000000.0,0.0,0.0,41.8,43.2,41.6
2021-03-08,40.39,42.75,0.05,1094300.0,47136000000.0,0.0,0.0,43.5,43.6,42.5
2021-03-09,39.68,42.0,-0.75,1431500.0,60384000000.0,0.0,0.0,42.5,42.75,41.8
2021-03-10,40.2,42.55,0.55,1336800.0,56310000000.0,20000.0,898000000.0,42.0,42.6,41.7
2021-03-11,40.35,42.7,0.15,1116800.0,47735000000.0,0.0,0.0,43.0,43.0,42.55
2021-03-12,40.02,42.35,-0.35,949800.0,40286000000.0,0.0,0.0,42.7,42.9,42.0
2021-03-15,40.02,42.35,0.0,1079500.0,45774000000.0,0.0,0.0,42.55,43.0,41.9
2021-03-16,39.92,42.25,-0.1,652900.0,27727000000.0,0.0,0.0,42.45,42.8,42.0
2021-03-17,40.06,42.4,-0.15,753600.0,31983000000.0,0.0,0.0,42.55,42.6,42.2
2021-03-18,40.06,42.4,0.0,969200.0,41121000000.0,0.0,0.0,42.95,43.0,42.0
2021-03-19,39.59,41.9,-0.5,743100.0,31328000000.0,0.0,0.0,42.4,42.4,41.9
2021-03-22,39.17,41.45,-0.45,928600.0,38631000000.0,0.0,0.0,42.0,42.0,41.3
2021-03-23,38.22,40.45,-1.0,1651800.0,67209000000.0,0.0,0.0,41.35,41.35,40.1
2021-03-24,36.76,38.9,-1.55,1534500.0,60410000000.0,0.0,0.0,40.0,40.3,38.0
2021-03-25,36.43,38.55,-0.35,1129300.0,44159000000.0,0.0,0.0,38.9,39.6,38.4
2021-03-26,36.85,39.0,0.45,806900.0,31155000000.0,0.0,0.0,38.4,39.3,38.0
2021-03-29,37.23,39.4,0.4,482800.0,18956000000.0,0.0,0.0,39.2,39.6,38.7
2021-03-30,36.85,39.0,-0.4,750000.0,29328000000.0,0.0,0.0,39.2,39.35,38.85
2021-03-31,36.66,38.8,-0.2,713800.0,27662000000.0,0.0,0.0,38.75,39.1,38.6
2021-04-01,37.32,39.5,0.7,488400.0,19198000000.0,0.0,0.0,38.8,39.5,38.8
2021-04-02,36.99,39.15,-0.35,743800.0,29418000000.0,0.0,0.0,40.1,40.1,39.1
2021-04-05,37.32,39.5,0.35,836700.0,33005000000.0,0.0,0.0,40.0,40.0,39.15
2021-04-06,37.13,39.3,-0.2,655900.0,25830000000.0,200000.0,7900000000.0,39.5,39.6,39.2
2021-04-07,36.94,39.1,-0.2,639900.0,25058000000.0,70000.0,2737000000.0,39.3,39.3,39.05
2021-04-08,37.18,39.35,0.25,606200.0,23820000000.0,50000.0,1955000000.0,39.4,39.5,39.05
2021-04-09,36.99,39.15,-0.2,745800.0,29217000000.0,0.0,0.0,39.45,39.45,39.0
2021-04-12,36.47,38.6,-0.55,2159000.0,83367000000.0,0.0,0.0,39.15,39.2,38.45
2021-04-13,36.28,38.4,-0.2,824800.0,31867000000.0,61500.0,2373900000.0,38.8,38.95,38.35
2021-04-14,36.09,38.2,-0.2,1022200.0,39079000000.0,0.0,0.0,38.4,38.6,38.1
2021-04-15,35.24,37.3,-0.9,1301200.0,49212000000.0,0.0,0.0,38.2,38.5,37.1
2021-04-16,34.11,36.1,-1.2,1423700.0,51789000000.0,61500.0,2373900000.0,37.4,37.4,35.9
2021-04-19,34.63,36.65,0.55,602400.0,22064000000.0,0.0,0.0,36.1,37.0,36.1
2021-04-20,34.68,36.7,0.05,742100.0,27424000000.0,350460.0,12949497000.0,36.8,37.45,36.5
2021-04-22,33.92,35.9,-0.8,766900.0,27853000000.0,0.0,0.0,37.0,37.0,35.9
2021-04-23,34.68,36.7,0.8,637500.0,22848000000.0,0.0,0.0,35.7,36.9,35.2
2021-04-26,34.2,36.2,-0.5,431600.0,15692000000.0,0.0,0.0,37.0,37.0,36.0
2021-04-27,34.02,36.0,-0.2,300600.0,10834000000.0,0.0,0.0,36.2,36.3,35.8
2021-04-28,34.87,36.9,0.9,623200.0,22567000000.0,0.0,0.0,36.0,36.9,35.95
2021-04-29,34.87,36.9,0.0,519300.0,19088000000.0,0.0,0.0,36.9,36.95,36.55
2021-05-04,34.11,36.1,-0.8,473500.0,17076000000.0,0.0,0.0,36.1,36.3,35.5
2021-05-05,34.2,36.2,0.1,563000.0,20412000000.0,0.0,0.0,36.2,36.5,36.15
