date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,17.14,32.4,-0.6,1390750.0,45614000000.0,950000.0,31350000000.0,32.8,33.1,32.4
2021-01-04,17.46,33.0,0.6,946800.0,31231000000.0,0.0,0.0,32.85,33.2,32.7
2021-01-05,18.68,35.3,2.3,2145100.0,74633000000.0,0.0,0.0,33.0,35.3,33.0
2021-01-06,18.7,35.35,0.05,711000.0,25478000000.0,800000.0,28000000000.0,36.0,36.75,35.3
2021-01-07,18.52,35.0,-0.35,1036700.0,36225000000.0,0.0,0.0,35.3,35.3,34.6
2021-01-08,18.39,34.75,-0.25,1291700.0,45287000000.0,0.0,0.0,35.0,35.5,34.75
2021-01-11,18.23,34.45,-0.3,1011300.0,35017000000.0,0.0,0.0,35.0,35.0,34.4
2021-01-12,18.23,34.45,0.0,605200.0,20793000000.0,0.0,0.0,34.1,34.9,34.1
2021-01-13,18.36,34.7,0.25,1052400.0,36846000000.0,0.0,0.0,34.9,35.2,34.65
2021-01-14,18.62,35.2,0.5,818400.0,28805000000.0,0.0,0.0,34.75,35.5,34.75
2021-01-15,18.86,35.65,0.45,824200.0,29394000000.0,0.0,0.0,35.5,35.95,35.5
2021-01-18,18.68,35.3,-0.35,661800.0,23531000000.0,145000.0,4814000000.0,35.6,35.8,35.3
2021-01-19,17.46,33.0,-2.3,1032900.0,34916000000.0,120000.0,4236000000.0,35.0,35.3,32.85
2021-01-20,17.43,32.95,-0.05,850500.0,27346000000.0,0.0,0.0,33.0,33.5,30.75
2021-01-21,18.04,34.1,1.15,606100.0,20475000000.0,750000.0,24750000000.0,33.5,34.1,33.0
2021-01-22,18.07,34.15,0.05,646900.0,22059000000.0,150000.0,5114000000.0,34.3,34.3,34.0
2021-01-25,18.07,34.15,0.0,411700.0,14016000000.0,0.0,0.0,34.2,34.2,33.8
2021-01-26,17.51,33.1,-1.05,500000.0,16671000000.0,0.0,0.0,34.15,34.15,33.0
2021-01-27,17.7,33.45,0.35,842600.0,28106000000.0,0.0,0.0,33.0,33.9,32.8
2021-01-28,16.48,31.15,-2.3,1079800.0,34064000000.0,0.0,0.0,31.2,33.0,31.15
2021-01-29,16.72,31.6,0.45,457900.0,14247000000.0,0.0,0.0,29.2,32.0,29.2
2021-02-01,16.43,31.05,-0.55,284300.0,8903000000.0,0.0,0.0,32.0,32.0,30.7
2021-02-02,16.9,31.95,0.9,387700.0,12190000000.0,0.0,0.0,31.0,32.0,31.0
2021-02-03,17.94,33.9,1.95,541300.0,17674000000.0,0.0,0.0,32.5,33.9,32.0
2021-02-04,17.88,33.8,-0.1,314600.0,10622000000.0,0.0,0.0,34.0,34.0,33.3
2021-02-05,18.73,35.4,1.6,1534500.0,53685000000.0,0.0,0.0,33.9,35.5,33.8
2021-02-08,18.41,34.8,-0.6,1354400.0,48291000000.0,0.0,0.0,34.8,36.4,34.1
2021-02-09,19.05,36.0,1.2,1091900.0,38824000000.0,0.0,0.0,36.0,36.0,34.4
2021-02-17,19.97,37.75,1.75,1141900.0,41999000000.0,0.0,0.0,36.0,37.8,35.9
2021-02-18,19.81,37.45,-0.3,787100.0,29394000000.0,0.0,0.0,37.7,37.7,36.8
2021-02-19,19.89,37.6,0.15,531800.0,20015000000.0,0.0,0.0,36.8,38.0,36.8
2021-02-22,19.95,37.7,0.1,1128900.0,42574000000.0,0.0,0.0,37.8,37.9,37.4
2021-02-23,19.68,37.2,-0.5,1401200.0,52306000000.0,0.0,0.0,37.5,37.9,35.1
