date_publish,price_adjustment,price_closing,rate_of_change,gdkl_kl,gdkl_gt,gdtt_kl,gdtt_gt,price_open,price_highest,price_lowest
2020-12-31,12.04,32.5,0.7,7292340.0,235136000000.0,0.0,0.0,31.8,32.85,31.8
2021-01-04,12.67,34.2,1.7,8385500.0,280611000000.0,2837000.0,92956500000.0,32.9,34.2,32.55
2021-01-05,12.72,34.35,0.15,5658200.0,194049000000.0,2400000.0,87464000000.0,34.0,34.65,33.9
2021-01-06,12.74,34.4,0.05,6159400.0,213639000000.0,2187000.0,80288250000.0,35.0,35.0,34.2
2021-01-07,12.93,34.9,0.5,4691100.0,162398000000.0,1255200.0,43579680000.0,34.55,34.95,34.1
2021-01-08,13.17,35.55,0.65,4558600.0,162180000000.0,217000.0,7854100000.0,35.35,36.0,34.95
2021-01-11,13.04,35.2,-0.35,4430300.0,156978000000.0,666200.0,25315600000.0,36.0,36.0,35.05
2021-01-12,12.93,34.9,-0.3,4612500.0,160241000000.0,167000.0,6287550000.0,35.2,35.2,34.3
2021-01-13,13.22,35.7,0.8,5529300.0,196032000000.0,167000.0,6229100000.0,34.9,36.2,34.7
2021-01-14,13.63,36.8,1.1,6531000.0,238601000000.0,167000.0,6371050000.0,36.0,37.3,35.5
2021-01-15,13.8,37.25,0.45,4658200.0,174946000000.0,233300.0,9011290000.0,37.15,38.0,37.0
2021-01-18,13.5,36.45,-0.8,5121400.0,188768000000.0,851900.0,33844215000.0,37.25,37.35,36.45
2021-01-19,12.56,33.9,-2.55,7415600.0,258244000000.0,150000.0,5850000000.0,36.1,36.25,33.9
2021-01-20,12.67,34.2,0.3,8073200.0,268152000000.0,0.0,0.0,34.0,34.5,31.6
2021-01-21,13.41,36.2,2.0,6882400.0,242765000000.0,673900.0,23249550000.0,35.0,36.55,34.2
2021-01-22,13.52,36.5,0.3,4065000.0,147607000000.0,0.0,0.0,36.3,36.8,35.75
2021-01-25,13.3,35.9,-0.6,3524100.0,126708000000.0,899900.0,34104095000.0,36.4,36.4,35.6
2021-01-26,12.54,33.85,-2.05,6629100.0,228453000000.0,1243400.0,47746560000.0,35.5,35.55,33.4
2021-01-27,11.8,31.85,-2.0,8073900.0,262711000000.0,660000.0,23892000000.0,33.0,34.5,31.6
2021-01-28,10.98,29.65,-2.2,8709000.0,262092000000.0,4923800.0,158286190000.0,29.7,30.9,29.65
2021-01-29,11.11,30.0,0.35,7679900.0,230076000000.0,1000000.0,30000000000.0,28.2,31.7,28.2
2021-02-01,11.48,31.0,1.0,8096300.0,250251000000.0,2473800.0,74894230000.0,30.2,31.65,30.0
2021-02-02,12.28,33.15,2.15,4539500.0,146998000000.0,3690500.0,114466545000.0,31.0,33.15,31.0
2021-02-03,13.13,35.45,2.3,7212700.0,251397000000.0,1816900.0,57833885000.0,34.0,35.45,33.5
2021-02-04,13.56,36.6,1.15,8271100.0,302154000000.0,0.0,0.0,35.5,37.2,35.5
2021-02-05,13.71,37.0,0.4,5609800.0,206232000000.0,4576300.0,178100580000.0,36.6,37.1,36.3
2021-02-08,13.34,36.0,-1.0,8585000.0,308701000000.0,390000.0,15424500000.0,36.0,37.0,34.5
2021-02-09,14.26,38.5,2.5,11427300.0,430025000000.0,2661000.0,97372000000.0,38.5,38.5,35.4
2021-02-17,15.24,41.15,2.65,6880800.0,280746000000.0,650000.0,25600000000.0,39.5,41.15,39.2
2021-02-18,15.3,41.3,0.15,5151300.0,210406000000.0,1006000.0,40436000000.0,40.9,41.5,40.0
2021-02-19,15.04,40.6,-0.7,5478300.0,222238000000.0,600000.0,24300000000.0,40.3,41.25,40.1
2021-02-22,15.17,40.95,0.35,4886200.0,199958000000.0,1430000.0,57353000000.0,40.3,42.0,40.05
2021-02-23,15.0,40.5,-0.45,8992000.0,367783000000.0,946200.0,39343560000.0,41.0,41.6,39.5
2021-02-24,14.71,39.7,-0.8,4924100.0,197979000000.0,1550000.0,63755000000.0,41.1,41.1,39.5
2021-02-25,14.67,39.6,-0.1,7600300.0,297832000000.0,1600000.0,67920000000.0,39.7,40.0,38.45
2021-02-26,14.82,40.0,0.4,5846800.0,229214000000.0,1256468.0,52674619800.0,38.7,40.25,38.65
2021-03-01,15.11,40.8,0.8,3352500.0,136384000000.0,600000.0,24600000000.0,40.7,40.95,40.05
2021-03-02,15.09,40.75,-0.05,5150400.0,210503000000.0,1286300.0,54036040000.0,41.1,41.15,40.6
2021-03-03,15.41,41.6,0.85,6067500.0,251254000000.0,200000.0,8720000000.0,40.75,41.7,40.6
2021-03-04,15.37,41.5,-0.1,7501300.0,313480000000.0,1023800.0,45559100000.0,42.0,42.75,40.0
2021-03-05,15.48,41.8,0.3,3581200.0,147815000000.0,2300000.0,102120000000.0,40.9,41.9,40.5
2021-03-08,15.32,41.35,-0.45,3558200.0,147950000000.0,1206300.0,50642700000.0,41.9,42.5,40.9
2021-03-09,15.48,41.8,0.45,5754000.0,237772000000.0,1690800.0,69029200000.0,41.0,42.5,40.5
2021-03-10,15.56,42.0,0.2,3655900.0,153279000000.0,2381500.0,102633410000.0,41.9,42.4,41.3
2021-03-11,16.21,43.75,1.75,7863700.0,342325000000.0,4880600.0,215288400000.0,42.5,44.4,42.2
2021-03-12,16.48,44.5,0.75,8652300.0,384283000000.0,8193000.0,378648160000.0,44.1,45.0,43.75
2021-03-15,16.59,44.8,0.3,5081100.0,226751000000.0,5069300.0,231760930000.0,44.5,45.0,43.9
2021-03-16,16.43,44.35,-0.45,5495600.0,242018000000.0,6491530.0,293219177000.0,44.8,44.8,43.4
2021-03-17,16.52,44.6,0.25,3472100.0,153640000000.0,2701900.0,122159070000.0,44.35,44.95,43.9
2021-03-18,16.98,45.85,1.25,6211400.0,281173000000.0,3230000.0,149591000000.0,45.4,45.85,44.75
2021-03-19,16.74,45.2,-0.65,2892600.0,130768000000.0,1405300.0,62313200000.0,45.2,45.65,44.8
2021-03-22,16.63,44.9,-0.3,4302500.0,192731000000.0,1780000.0,80203000000.0,45.1,45.2,44.3
2021-03-23,16.48,44.5,-0.4,3984700.0,176742000000.0,0.0,0.0,44.25,44.9,44.0
2021-03-24,16.34,44.1,-0.4,3766600.0,164314000000.0,1532700.0,68260500000.0,43.85,44.3,43.0
2021-03-25,16.02,43.25,-0.85,2258200.0,98465000000.0,1010500.0,44320040000.0,44.1,44.3,43.1
2021-03-26,16.08,43.4,0.15,3505000.0,150284000000.0,0.0,0.0,43.25,43.6,41.5
2021-03-29,16.48,44.5,1.1,2731800.0,119367000000.0,675000.0,29025000000.0,43.5,44.5,43.05
2021-03-30,16.65,44.95,0.45,3701300.0,165771000000.0,5127700.0,227252876000.0,44.8,45.25,44.2
2021-03-31,16.54,44.65,-0.3,2875600.0,128173000000.0,1090000.0,47960000000.0,44.2,44.95,44.2
2021-04-01,17.0,45.9,1.25,5147000.0,233086000000.0,5173000.0,237360550000.0,44.65,46.1,44.4
2021-04-02,17.11,46.2,0.3,2400100.0,111150000000.0,0.0,0.0,46.4,46.6,45.85
2021-04-05,17.21,46.45,0.25,3162000.0,146283000000.0,5650000.0,257750000000.0,46.8,46.8,45.9
2021-04-06,17.21,46.45,0.0,3766400.0,175143000000.0,1230000.0,57720000000.0,46.45,47.0,45.0
2021-04-07,17.22,46.5,0.05,4134200.0,192556000000.0,0.0,0.0,46.0,47.0,46.0
2021-04-08,17.3,46.7,0.2,4285000.0,200528000000.0,735000.0,33810000000.0,47.0,47.2,46.1
2021-04-09,17.48,47.2,0.5,6145000.0,289204000000.0,1850000.0,87103000000.0,46.7,47.65,46.3
2021-04-12,18.15,49.0,1.8,12507000.0,605425000000.0,300000.0,14520000000.0,47.5,49.35,47.5
2021-04-13,18.41,49.7,0.7,8737300.0,436117000000.0,4241500.0,211873400000.0,50.0,50.5,49.05
2021-04-14,18.56,50.1,0.4,8429500.0,420499000000.0,200000.0,10000000000.0,50.0,50.2,49.0
2021-04-15,18.52,50.0,-0.1,8588700.0,429640000000.0,749800.0,37494040000.0,50.1,50.9,49.6
2021-04-16,18.13,48.95,-1.05,7968700.0,394835000000.0,700000.0,34596500000.0,49.5,50.0,48.5
2021-04-19,18.35,49.55,0.6,6235000.0,305363000000.0,324200.0,15873774000.0,49.5,49.55,48.2
2021-04-20,18.34,49.5,-0.05,7469200.0,370196000000.0,2000000.0,94000000000.0,49.55,49.9,49.0
2021-04-22,18.15,49.0,-0.5,18528500.0,934279000000.0,1447000.0,72047000000.0,49.6,51.5,46.05
2021-04-23,18.89,51.0,2.0,17736800.0,883929000000.0,0.0,0.0,49.25,51.0,48.8
2021-04-26,19.63,53.0,2.0,18067600.0,948528000000.0,238000.0,12614000000.0,51.5,53.5,51.4
2021-04-27,19.71,53.2,0.2,16956600.0,888922000000.0,200000.0,10486000000.0,52.4,53.4,51.4
2021-04-28,20.37,55.0,1.8,17660900.0,951880000000.0,150000.0,8250000000.0,53.5,55.0,52.8
2021-04-29,21.67,58.5,3.5,41536000.0,2341355000000.0,0.0,0.0,55.5,58.8,54.2
2021-05-04,22.04,59.5,1.0,24846500.0,1430572000000.0,0.0,0.0,57.1,59.5,56.2
2021-05-05,22.45,60.6,1.1,21968300.0,1319399000000.0,0.0,0.0,59.5,61.6,58.7
2021-05-06,22.89,61.8,1.2,28868100.0,1766482000000.0,3165000.0,192087000000.0,60.6,61.9,60.3
2021-05-07,22.78,61.5,-0.3,36308200.0,2209750000000.0,300000.0,18243000000.0,61.5,61.6,60.1
2021-05-10,23.08,62.3,0.8,36069200.0,2200533000000.0,251800.0,15485700000.0,61.0,62.6,60.0
2021-05-11,23.34,63.0,0.7,24541400.0,1530341000000.0,0.0,0.0,62.4,63.5,61.5
2021-05-12,23.71,64.0,1.0,33403900.0,2093668000000.0,80000.0,4720000000.0,62.7,64.0,61.5
2021-05-13,24.11,65.1,1.1,25718500.0,1661171000000.0,25000.0,1490000000.0,63.5,65.5,63.3
2021-05-14,24.67,66.6,1.5,44422200.0,2895894000000.0,20000.0,1240000000.0,65.2,66.6,63.8
2021-05-17,24.37,65.8,-0.8,36478300.0,2409633000000.0,20085.0,1307533500.0,66.8,67.4,64.9
2021-05-18,24.89,67.2,1.4,30645700.0,2012850000000.0,1120000.0,69445200000.0,65.8,67.2,64.5
2021-05-19,25.0,67.5,0.3,41305500.0,2746356000000.0,1600000.0,107840000000.0,66.5,67.5,65.0
2021-05-20,24.74,66.8,-0.7,34350700.0,2274611000000.0,1000000.0,67500000000.0,67.2,67.4,65.5
2021-05-21,25.11,67.8,1.0,42798800.0,2840035000000.0,0.0,0.0,66.8,68.0,65.0
2021-05-24,24.71,66.7,-1.1,39712200.0,2637813000000.0,435800.0,29312390000.0,67.8,67.8,65.2
2021-05-25,24.74,66.8,0.1,31781000.0,2120262000000.0,1717700.0,115996959000.0,65.5,67.5,65.4
2021-05-26,25.04,67.6,0.8,35197100.0,2361011000000.0,100000.0,6708000000.0,66.6,67.9,66.1
2021-05-27,24.93,67.3,-0.3,38641900.0,2579026000000.0,50000.0,3390000000.0,67.7,67.7,66.1
2021-05-28,25.41,68.6,1.3,39912100.0,2708463000000.0,115000.0,7889000000.0,67.1,68.7,66.9
2021-05-31,25.63,69.2,0.6,33135900.0,2255813000000.0,383600.0,26491400000.0,68.6,69.2,67.2
2021-06-01,25.67,69.3,0.1,46477100.0,3183097000000.0,78000.0,5312600000.0,68.5,70.2,67.2
2021-06-02,26.0,70.2,0.9,29367400.0,2043091000000.0,165600.0,11488380000.0,69.0,70.3,68.1
2021-06-03,26.15,70.6,0.4,59255200.0,4109074000000.0,84700.0,5945940000.0,70.1,70.8,68.1
2021-06-04,26.56,71.7,1.1,76583400.0,5376783000000.0,54400.0,3840640000.0,69.3,71.8,68.6
2021-06-07,26.67,72.0,0.3,45648300.0,3219684000000.0,375900.0,26639425000.0,71.0,72.0,69.5
2021-06-08,26.48,71.5,-0.5,50833300.0,3607131000000.0,629840.0,44216552000.0,71.1,72.0,70.1
2021-06-09,26.6,71.8,0.3,33409200.0,2388603000000.0,0.0,0.0,71.0,72.2,70.1
2021-06-10,26.6,71.8,0.0,76530000.0,5448352000000.0,300000.0,21357000000.0,71.0,72.1,70.1
2021-06-11,26.56,71.7,-0.1,30016000.0,2134896000000.0,300000.0,21750000000.0,71.0,71.8,70.2
2021-06-14,26.26,70.9,-0.8,35156100.0,2479133000000.0,1153300.0,79425110000.0,71.3,71.3,70.0
2021-06-15,24.63,66.5,-4.4,37834100.0,2578017000000.0,1146000.0,79808400000.0,70.2,70.2,66.0
2021-06-16,24.74,66.8,0.3,24074100.0,1609777000000.0,2090694.0,140072532840.0,66.0,68.0,66.0
2021-06-17,24.45,66.0,-0.8,15732600.0,1032321000000.0,1173200.0,80969416000.0,66.0,66.4,65.0
2021-06-18,24.63,66.5,0.5,14881900.0,986359000000.0,603300.0,39967980000.0,65.9,66.7,65.9
2021-06-21,24.63,66.5,0.0,15519400.0,1028453000000.0,224800.0,15549400000.0,66.6,67.0,65.9
2021-06-22,24.45,66.0,-0.5,16227700.0,1072846000000.0,690000.0,43530000000.0,66.5,66.8,65.5
